rmag_HG171020 _field - Sheet1
#host_name,ra_deg,dec_deg,z_photo_WISE,rmag,rmag_err,Mag prior (1/\sum m),Positional lik,p(z),product (raw),product (normed)
J221524.61-193504.8,333.853,-19.585,0.0087,19.2233,0.0889,0.00570296590878147,0.00215064041292296,32.908590259394100,0.000403624812463784,0.483248388812653
J221427.49-200156.0,333.615,-20.032,0.047,20.3648,0.0606,0.0017511167428884,0.00755113744981839,2.8030534380456200,0.0000370645603822628,0.044376333004515
J221430.33-200013.6,333.626,-20.004,0.049,20.0347,0.0336,0.00244445951977035,0.00755113744981839,2.0832661217234600,0.0000384538631785027,0.0460397053174252
J221359.13-195106.0,333.496,-19.852,0.0551,17.5727,0.0029,0.0360789145387826,0.00998852991779774,0.6330606145126230,0.000228139419807582,0.273144771189109
J221445.43-194502.2,333.689,-19.751,0.056,20.6629,0.0671,0.00130275443942884,0.0102752819728541,0.5063921634276870,0.00000677865118449814,0.00811588426201036
J221338.59-193704.2,333.411,-19.618,0.0364,18.2049,0.0067,0.0174568451067372,0.00702542534888167,0.4750683741579500,0.0000582632225362917,0.0697568820059156
J221413.69-194032.1,333.557,-19.676,0.0563,18.3037,0.0064,0.0156186638338704,0.000382336073408526,8.841295688647030,0.0000527964921494267,0.0632117228136454
J221415.90-202202.4,333.566,-20.367,0.046,18.5523,0.007,0.0118355357185103,0.000191168036704263,3.22933127709492,0.00000730660785260168,0.00874799160859927
J221459.58-201030.4,333.748,-20.175,0.0556,NaN,NaN,0.00129789512943858,0.000430128082584592,0.5665181162490530,0.000000316265051346076,0.000378655057323701
J221404.53-195840.5,333.519,-19.978,0.0663,19.7793,0.0365,0.00317812629673928,0.0108009940737909,0.014658872105804000,0.000000503193978394121,0.000602459689816533
J221501.93-200730.5,333.758,-20.125,0.0586,18.6564,0.0837,0.01054938984715,0.000573504110112789,0.25239988064855100,0.00000152704917128792,0.00182829208927486
J221419.92-201529.1,333.583,-20.258,0.0632,18.6821,0.0697,0.0102550237455036,0.000477920091760658,0.05351459771262990,0.000000262279425671044,0.00031401961911252
J221358.74-193215.9,333.495,-19.538,0.0675,19.7689,0.0228,0.00321253679722543,0.000525712100936723,0.007990987275477960,0.0000000134957344367695,0.0000161580550080713
J221437.97-192453.2,333.658,-19.415,0.0684,17.7779,0.0061,0.0284288848378469,0.000573504110112789,0.0050541490848270500,0.0000000824032626376548,0.0000986590582959406
J221552.85-195808.4,333.97,-19.969,0.0705,17.8776,0.0065,0.0253441575390886,0.000143376027528197,0.001504139100920670,0.00000000546565737924438,0.00000654387451108156
J221449.49-192207.4,333.706,-19.369,0.0707,19.8369,0.0542,0.0029944569553945,0.000143376027528197,0.0013369501476994800,0.000000000573997276160543,0.000000687230443525625
J221559.40-192629.3,333.998,-19.441,0.0695,15.1775,0.0048,0.70617956213222,0.00965398585356528,1.28230207737972E-05,0.0000000874202709539762,0.000104665778177017
J221357.33-195652.7,333.489,-19.948,0.0767,17.2688,0.004,0.0515918269998431,4.77920091760658E-05,0.0026442604715819200,0.00000000651989241026467,0.00000780607981768948
J221528.16-193851.9,333.867,-19.648,0.076,20.6667,0.0627,0.00129789512943858,0.00191168036704263,2.46605385664198E-05,0.0000000000611867575887756,0.000000073257146509295
J221421.41-192756.0,333.589,-19.466,0.0762,17.519,0.0024,0.0384168405690495,0.000286752055056395,2.07251801901164E-05,0.000000000228310822919669,0.000000273349987209522
J221416.08-193057.8,333.567,-19.516,0.0771,19.7686,0.0507,0.0032135352210089,0.000430128082584592,8.81231946001844E-06,0.0000000000121806676864826,0.0000000145835633796255
J221503.26-192544.4,333.764,-19.429,0.0795,18.4509,0.0565,0.0132472198469478,0.000860256165169184,7.93698988041709E-07,0.00000000000904499568743994,0.0000000108293134064074
J221249.30-194822.9,333.205,-19.806,0.0777,18.8426,0.0357,0.00860139314433543,4.77920091760658E-05,4.94611100461563E-06,0.00000000000203323672750062,0.00000000243433590378576
