lls0,P_zDM0,P_n0,P_s0,N0,lls1,P_zDM1,P_n1,P_s1,N1,lls2,P_zDM2,P_n2,P_s2,N2,lls3,P_zDM3,P_n3,P_s3,N3,lls4,P_zDM4,P_n4,P_s4,N4,lls,P_zDM,P_n,P_s,p_zgDM,p_DM,p_DMgz,p_z,lEmax
-123.93070879520384,-60.333318235692616,-1.3351561094854962,-62.26223445002573,15.313859648639632,-6.087584824360251,-4.158799554653683,-0.4349245121193036,-1.4938607575872642,0.947098148202441,-57.02762450749439,-33.93269652770039,-0.9907692374780788,-22.104158742315928,10.44805187399072,-123.73616198885705,-76.6880941261156,-1.1461122668613255,-45.90195559588011,10.933712422210062,-109.42201920199244,-74.9921896408867,-1.1029564728243866,-33.32687308828135,15.23773802556139,-420.20409931790795,-250.105098085049,-5.009918598768591,-165.08908263409037,-58.24330137036606,-39.45833990101637,-37.913708343785146,-59.787932927597296,40.5
-123.7809404923436,-60.24159310171372,-1.3365076153339455,-62.20283977529594,15.303704446333462,-6.114519079154632,-4.176666238872681,-0.43468091108601503,-1.5031719291959362,0.9584061182228617,-55.90479033541007,-33.435983726165745,-0.9914755019503816,-21.477331107293942,10.454984971846713,-119.51409045863075,-74.97233491951468,-1.1366378723580626,-43.40511766675802,11.0128018597271,-109.06209803981233,-74.62854970347907,-1.1161628530269712,-33.317385483306275,15.378457265998374,-414.3764384053514,-247.4551276897459,-5.015464753755376,-161.9058459618501,-56.24628769115372,-39.32123937523953,-37.48755534810481,-58.07997171828845,40.56122448979592
-123.62564632572128,-60.14182604829091,-1.3372255675250984,-62.14659470990527,15.298321412282622,-6.142419631623272,-4.196001189812136,-0.43449574035155547,-1.5119227014595815,0.9698642831201283,-54.93384183665198,-32.998794931455315,-0.9918508769577186,-20.943196028238948,10.458663776768345,-115.8661863959026,-73.47508866081874,-1.1276239124082488,-41.26347382267561,11.09060203486588,-108.74307834669096,-74.29252734301703,-1.127594626355894,-33.32295637731804,15.496670122043794,-409.3111725365901,-245.1042381733941,-5.018790723598515,-159.18814363959746,-54.53204664097285,-39.183725935514815,-37.13076426290732,-56.58500831358036,40.62244897959184
-123.4645819047129,-60.03343221072497,-1.337300424499535,-62.0938492694884,15.297760616236813,-6.171180150462579,-4.216680313624593,-0.4343700372111227,-1.5201297996268632,0.9814625156825919,-54.09532641814201,-32.614249001434786,-0.991890022871584,-20.489187393835635,10.459047177805779,-112.71974662334554,-72.1707251339431,-1.1190665999582192,-39.42995488944423,11.166972822201009,-108.46722432055859,-73.98634484858758,-1.1368353426868043,-33.34404412928419,15.59000787938671,-404.91805941722157,-243.021431508315,-5.019462427227266,-156.87716548167933,-53.06656313751742,-39.04710469633358,-36.83258851191028,-55.2810793219407,40.683673469387756
-123.29757505753813,-59.9158635261187,-1.3367266339086783,-62.044984897510744,15.302061442758626,-6.200701451600024,-4.238585085162378,-0.43430460968435386,-1.527811756753292,0.9931861780404129,-53.372187995797134,-32.27632614360243,-0.9915899998925684,-20.104271852302137,10.456107538093597,-110.0111664501423,-71.03677337133945,-1.1109619535730078,-37.86343112522984,11.241763781572248,-108.23545389847817,-73.71133202672983,-1.1435051323441896,-33.38061673940414,15.65623182376111,-401.11708485355575,-241.1788801529528,-5.017088329402798,-154.92111637120016,-51.81960737575404,-38.912945864935516,-36.58388715760326,-54.148666083086304,40.744897959183675
-123.1258031672688,-59.788664205853536,-1.3367106322145967,-62.000428329200666,15.302181456648222,-6.230888866904872,-4.261601652146204,-0.4342987106929105,-1.534988504065756,1.0044194628930654,-52.74886677559809,-31.979796283958525,-0.9903203596049484,-19.77875013203462,10.44363760708216,-107.68540245894421,-70.05342766543374,-1.1039982141252929,-36.527976579385175,11.308105834714402,-108.0466137388942,-73.4680055872355,-1.1463335214887707,-33.43227463016993,15.684038297410787,-397.8375750076101,-239.5514953946275,-5.011661438126518,-153.27441817485615,-50.76415925571239,-38.783079355189116,-36.37682749427141,-53.1704111166301,40.80612244897959
-122.9483756532556,-59.65154114730706,-1.3361792258027414,-61.9606552801458,15.306169322448786,-6.2616480548447555,-4.2856199431522235,-0.43434710591172443,-1.541681005780808,1.0156482395552004,-52.21292728834179,-31.7201631442693,-0.9886477812919526,-19.504116362780536,10.427135359665618,-105.69294751603044,-69.20313737726289,-1.0975222639636544,-35.3922878748039,11.371671437942146,-107.9003757327504,-73.25614715202994,-1.1459168458450535,-33.49831173487542,15.679951981715261,-395.0162742452229,-238.1166087640214,-5.0026132228151265,-151.89705225838648,-49.87596558870858,-38.659555901133174,-36.20468962351092,-52.330831866330826,40.86734693877551
-122.76386244273837,-59.50444539309609,-1.333233378392218,-61.92618367125007,15.328356753400735,-6.292902916912139,-4.310532779613877,-0.43445919913242315,-1.5479109381658391,1.0277952307741818,-51.75413721997823,-31.493614048616976,-0.9875595552426701,-19.272963616118588,10.41635217270947,-103.98996650460569,-68.47027196035808,-1.09048725798081,-34.42920728626679,11.442941052662222,-107.79621973892799,-73.0748817431266,-1.1436089791315853,-33.57772901666981,15.65725562505281,-392.5970888231624,-236.85374592481162,-4.989348369879707,-150.75399452847108,-49.133225304386585,-38.54456899147725,-36.06173632044509,-51.61605797541874,40.92857142857143
-122.5731806738039,-59.347657001375794,-1.3279645708827656,-61.89755910154534,15.368386631338138,-6.324582126286782,-4.3362350025881256,-0.43464671470969346,-1.5537004089889634,1.040817705866024,-51.3629019295207,-31.296965201559274,-0.9870190147027849,-19.078917713258647,10.410982222020575,-102.53914944697627,-67.84084574504351,-1.0830018332557945,-33.61530186867696,11.521543390531543,-107.73135692165837,-72.92279834766481,-1.1392794632602337,-33.66927911073332,15.614383575371715,-390.531171098246,-235.7445012982315,-4.971911596811272,-149.81475820320324,-48.516383406204326,-38.44033688661169,-35.94310977957379,-51.01361051324224,40.98979591836735
-122.38139131207319,-59.18186243448008,-1.3241921662086433,-61.87533671138446,15.397326531882024,-6.356571638821146,-4.362622633320525,-0.434877291324278,-1.5590717141763435,1.052705204529464,-51.02922840465463,-31.127594328039613,-0.9850571369012789,-18.916576939713742,10.391414358116048,-101.30986341303017,-67.30229127141328,-1.0771166900116311,-32.93045545160526,11.585538012286221,-107.69966544247252,-72.79808742796264,-1.1300114972818942,-33.77156651722798,15.521266599511973,-388.77672021105167,-234.77245809521617,-4.951254781727726,-149.0530073341078,-48.00800519982075,-38.34895281064951,-35.84473157083829,-50.512226439631974,41.05102040816327
-122.18808765765525,-59.00821235031607,-1.3198116748551705,-61.86006363248401,15.431230715661119,-6.388799101389145,-4.389592096984618,-0.4351598758760043,-1.5640471285285225,1.0644644845839715,-50.74757704910337,-30.983357262592378,-0.9827836599887101,-18.78143612652228,10.368583228920071,-100.27239671772226,-66.84327942361237,-1.0716743658066914,-32.357442928303186,11.646598399381798,-107.69946338781278,-72.69865591932076,-1.1176737183803649,-33.883133750111675,15.394264077819024,-387.2963239136828,-233.92309705282617,-4.927103294906941,-148.44612356594968,-47.59269596631012,-38.27222261698628,-35.76319908679979,-50.10171949649661,41.11224489795919
-121.99545575007897,-58.82834979969145,-1.3148401087499848,-61.85226584163754,15.470109059991383,-6.421177253557763,-4.417039551308847,-0.435488976919378,-1.5686487253295378,1.0760125734720911,-50.51248283129582,-30.862491314329166,-0.9802094905595387,-18.669782026407113,10.342525665432454,-99.40174586341882,-66.45359109514973,-1.0666786445082204,-31.881476123760876,11.704374935870652,-107.72734423064014,-72.62222618218166,-1.1025991585643329,-34.00251888989414,15.233864115574136,-386.0582059289915,-233.18369794266087,-4.899816379301455,-147.9746916070292,-47.257027053205725,-38.21151970977468,-35.69568234974397,-49.772864413236434,41.173469387755105
-121.80614351013696,-58.64440430832127,-1.3092967255614787,-61.85244247625422,15.513974051656021,-6.453615910796758,-4.444860365048919,-0.43585732124607374,-1.5728982245017646,1.0872517828132688,-50.31942186084439,-30.763513733341963,-0.9773469093804289,-18.578561218122005,10.313282687418255,-98.67591034850363,-66.1240430109433,-1.062135834561558,-31.489731502998772,11.75846683065199,-107.77993626631884,-72.566420723894,-1.0852405436322465,-34.12827499879259,15.041009251590623,-385.0350278966006,-232.54324214154946,-4.869877334381786,-147.62190842066934,-46.98942930011088,-38.167692865372004,-35.639828413403166,-49.51729375207971,41.234693877551024
-121.62322503321354,-58.45895416516012,-1.3032027475684094,-61.861068120485015,15.562842853390432,-6.486021338990746,-4.472948780246741,-0.4362556920284249,-1.5768168667155802,1.0980694013119014,-50.164570833538356,-30.685126073876077,-0.974209390862105,-18.50523536880017,10.28089800220165,-98.07539982860348,-65.84645949503192,-1.058055194159116,-31.170885139412448,11.808416532584955,-107.8540286912036,-72.52885461473954,-1.0661628364821631,-34.25901123998189,14.817095733467491,-384.2032457255497,-231.9923431290544,-4.837885861100218,-147.3730167353951,-46.780021809298766,-38.14105884125116,-35.593678654914754,-49.32740199563518,41.295918367346935
-121.45014329608861,-58.274964017826846,-1.2965810795228725,-61.87859819873889,15.61673956649275,-6.518295867923062,-4.501197708852205,-0.4366728485742687,-1.580425310496588,1.1083378731383797,-50.0445899477636,-30.626133878763238,-0.9708114212751919,-18.447644647725173,10.245416421190487,-97.58280431490935,-65.61367120749183,-1.0544494129072595,-30.914683694510252,11.85370503357817,-107.94668453837878,-72.50721165372246,-1.0460324487949708,-34.393440435861336,14.563982910994671,-383.54251796506344,-231.5231784666566,-4.8045472110745635,-147.21479228733222,-46.620363420145694,-38.13149314666375,-35.555600679480165,-49.19625588732929,41.357142857142854
-121.29062729239008,-58.09570485886701,-1.2894560364752616,-61.90546639704781,15.67569768256108,-6.550337661056066,-4.529498566732587,-0.4370955451718004,-1.5837435491516776,1.1179152820191605,-49.95645177305112,-30.585387037628937,-0.9671683223878886,-18.403896413034293,10.2068822224096,-97.1824294023461,-65.41951946228039,-1.0513353266281864,-30.711574613437534,11.893746629005705,-108.05528623922787,-72.49929173224783,-1.025597657757804,-34.53039684922224,14.283948337503611,-383.03513236807123,-231.12940165775674,-4.770652888420941,-147.13507782189356,-46.50314665541285,-38.138598160459,-35.5242333784299,-49.11751143744195,41.41836734693877
-121.14857354062727,-57.92465917563099,-1.2818530908629415,-61.94206127413334,15.739762735429405,-6.582041348815354,-4.55774175536939,-0.4375087486905471,-1.5867908447554162,1.1266477814414437,-49.897324385184376,-30.561741458310134,-0.9632960861529384,-18.3722868407213,10.165337476139214,-96.8600053863803,-65.25885056951034,-1.0487351442043575,-30.552419672665582,11.927880198592035,-108.17752657035106,-72.50303739873904,-1.0056631853366758,-34.66882598627536,13.97960037133691,-382.66547123135837,-230.8060303575599,-4.73705625524746,-147.122384618551,-46.421890013093055,-38.16189029236706,-35.498442131102884,-49.08533817435724,41.47959183673469
-121.02788546861986,-57.76540980823796,-1.273798539290509,-61.988677121091385,15.808996116309087,-6.613299880485057,-4.585818052756266,-0.43789614904647467,-1.5895856786823164,1.1343748610890372,-49.86450360147949,-30.554038659197282,-0.9592111707436833,-18.35125377153853,10.120819742307274,-96.60251115308881,-65.12749353263243,-1.0466774017888825,-30.428340218667515,11.955368261375007,-108.31136583014523,-72.51654957438656,-0.9870629619481396,-34.807753293810535,13.653770446240955,-382.41956593381843,-230.5493096272105,-4.704646222817689,-147.16561008379028,-46.37069778380925,-38.20093868359108,-35.47728139359963,-49.0943550738007,41.54081632653061
