FRB,Voltage,SBID,Beam,Time,scan,DM,RA,Decl,z,SNR_craco,width,width_craco,Gl,Gb,Alt,Az,DM_NE2001,DM_YMW16,mjd
20231230A,,56346,16,2023-12-30 17:00:51.410,00/20231230165827,676.5,07h55m02.63s,08d30m51.80s,0.506,14.3,69.1,2,212.4371146896605,17.97891877866665,53.9263298264164,14.146588958005973,80.50362396240234,97.6689910888672,60308.70892835648
20240117A,,57570,4,2024-01-17 15:51:39.260,00/20240117154642,881.0,03h35m30.73s,-15d51m08.98s,0.644,14.2,,2,205.01080436620737,-50.39993154457293,36.21989798514117,269.492398050258,35.474143981933594,36.91987991333008,60326.660871064814
20240203A,,58571,17,2024-02-03 09:44:26.639,00/20240203093553,454.0,00h35m35.42s,15d50m26.65s,0.243,12.2,,1,117.3535873375361,-46.85929113491701,40.1111877832552,325.72875621933207,36.25816345214844,27.870031356811523,60343.40586387731
20240208A,Y,58855,29,2024-02-08 20:00:53.981,00/20240208194747,260.2,10h36m55.08s,-00d57m15.72s,,10.3,4.3,1,248.39427311155248,47.16666857378167,47.17742992288276,300.7695275151878,38.96824645996094,27.51456069946289,60348.83395811343
20240210B,,58971,33,2024-02-10 16:31:32.693 ,00/20240210161859,396.3,03h40m55.98s,-41d51m43.60s,0.325,10.1,,7,247.28221000499613,-52.5575874035369,17.890048001096456,231.5760475076721,34.113372802734375,26.36427879333496,60350.68857283565
20240216A,,59133,32,2024-02-16 17:42:14.158 ,00/20240216174001,311.62,10h12m19.32s,14d02m40.69s,,10.9,,3,224.22729076375333,50.73104237970733,46.84336438903016,338.45375835417354,37.20788192749024,25.882566452026367,60356.737663865744
20240310A,Y,59891,31,2024-03-10 07:39:08.871 ,00/20240310072445,601.8,01h10m29.27s,-44d26m19.58s,0.127,25.7,4.7,1,291.70592096754683,-72.27189918064167,65.0296582652478,219.43012772064307,30.100830078125,19.824995040893555,60379.31885267361
20240312A,,59967,22,2024-03-12 06:36:49.824,00/20240312062255,330.0,03h26m29.61s,-54d36m03.54s,0.049,12.2,,7,268.01165096949404,-50.68493697121322,56.482997054493126,153.0531845491635,35.75310134887695,26.72962951660156,60381.27557666667
20240316A,,60112,9,2024-03-16 21:29:29.392,06/20240316212642,667.0,19h55m51.23s,-65d26m07.42s,,11.5,,1,330.7532816993134,-31.15406482289452,41.99627413815936,156.3959896217338,64.36654663085938,47.882904052734375,60385.895479074075
20240408A,,61035,8,2024-04-08 16:06:34.682 ,00/20240408154646,520.0,14h39m28.11s,-01d08m58.44s,,11.6,,1,349.88796162182496,51.59355014256265,55.34600428925305,46.81607231483956,30.16599464416504,26.98432731628418,60408.67123474537
20240615A,,62923,25,2024-06-15 04:35:14.167 ,00/20240615043134,200.96,02h15m51.28s,-14d37m28.19s,0.073,67.0,,1,184.71911880791924,-66.71093379365679,37.36266176141692,271.7833563363435,31.05978202819824,25.47529983520508,60476.19113619213
20240629A,Y,63380,17,2024-06-29 06:41:53.054,00/20240629063633,534.4,05h34m11.56s,-59d40m25.09s,,17.0,4.6,1,268.38290627337244,-32.83337968297496,42.04902394829363,212.08369409549752,50.80693435668945,50.25376892089844,60490.27908627315
20240114A,Y,64245,14,2024-07-28 21:03:15.000,00/20240728210315,530.2,21h27m39.82s,04d19m45.84s,,90.5,,1,57.48099757577732,-31.651154757828376,26.57263037913117,290.3860768138203,49.6728630065918,38.81753540039063,60519.87725694444
20240807A,Y,64415,5,2024-08-07 18:03:05.037 ,00/20240807175219,530.0,01h33m12.66s,-06d59m04.74s,0.21,11.6,5.0,3,151.0373834218158,-67.5478915278965,47.60022525776493,69.3550897371466,31.662885665893555,21.701465606689453,60529.75214163194
20240826A,,65177,17,2024-08-26 18:48:24.546 ,00/20240826184119,387.0,22h38m27.84s,-30d08m18.23s,0.203,9.6,,0,19.06359304029001,-60.76944779953969,59.765880798780266,255.58766170314144,34.577857971191406,21.78661727905273,60548.783617430556
20241005A,,66354,3,2024-10-05 11:57:50.099,00/20241005115201,764.6,19h39m12.19s,18d23m33.74s,,28.6,,1,54.67966081291331,-1.768683987037983,42.359308853764695,339.71633761570644,500.8161926269531,509.5898132324219,60588.4984965162
20241014A,Y,66560,3,2024-10-14 22:08:05.382,00/20241014215659,496.0,03h19m21.47s,-58d19m15.94s,,22.9,2.3,1,273.76857034851463,-49.5888838906299,36.75883470791185,215.69635889120136,36.63035583496094,27.725454330444336,60597.92228451389
20241027A,Y,67190,32,2024-10-27 19:05:01.536 ,00/20241027185312,320.0,02h24m06.96s,-20d42m12.71s,0.036,13.5,18.2,3,201.0414550879246,-67.9067678235051,50.14735441598143,269.32374450759187,30.4564266204834,25.284761428833008,60610.79515666667
