sbid,name,status,template,survey,start,stop,duration,footprint,pitch,rotation,freq,weights,weights_id,commensal
9591,CRAFT/filler_closepack36,OBSERVED,balflyseye,AS106,2019-08-15 10:04:39.460194,2019-08-15 10:11:05.632086,386,closepack36,0.9,45,1407.5,,-,N
9622,CRAFT/filler_closepack36,OBSERVED,balflyseye,AS106,2019-08-18 06:11:01.490432,2019-08-18 06:13:54.929793,173,closepack36,0.9,45,1407.5,,-,N
9623,CRAFT/filler_closepack36,OBSERVED,balflyseye,AS106,2019-08-18 06:21:12.599305,2019-08-18 06:21:44.816916,32,closepack36,0.9,45,1407.5,,-,N
9650,CRAFT/filler_closepack36,ERRORED,balflyseye,AS106,2019-08-25 06:59:09.907938,2019-08-25 07:06:10.116244,420,closepack36,0.9,45,1407.5,,-,N
9655,CRAFT/filler_closepack36,ERRORED,balflyseye,AS106,2019-08-25 10:17:44.064353,2019-08-25 15:48:38.749513,19854,closepack36,0.9,45,1407.5,,-,N
9780,test closepack36 1272.5 MHz,ERRORED,Standard,AS106,2019-09-10 10:05:30.524221,2019-09-10 10:06:31.361168,60,closepack36,0.9,45,1272.5,SB09775_201909100812_1450M_36b,-,Y
9781,test closepack36 1272.5 MHz,OBSERVED,Standard,AS106,2019-09-10 10:08:33.465180,2019-09-10 10:15:40.200790,426,closepack36,0.9,45,1272.5,SB09775_201909100812_1450M_36b,-,Y
9782,test closepack36 1272.5 MHz,OBSERVED,Standard,AS106,2019-09-10 10:16:26.623500,2019-09-10 10:22:08.332569,341,closepack36,0.9,45,1272.5,SB09775_201909100812_1450M_36b,-,Y
9783,test closepack36 1272.5 MHz,OBSERVED,Standard,AS106,2019-09-10 10:23:09.901498,2019-09-10 10:28:56.131717,346,closepack36,0.9,45,1272.5,SB09775_201909100812_1450M_36b,-,Y
9784,test closepack36 1272.5 MHz,OBSERVED,Standard,AS106,2019-09-10 10:30:43.401460,2019-09-10 10:36:24.346809,340,closepack36,0.9,45,1272.5,SB09775_201909100812_1450M_36b,-,Y
9785,test closepack36 1272.5 MHz,OBSERVED,Standard,AS106,2019-09-10 10:36:45.341811,2019-09-10 10:42:32.282436,346,closepack36,0.9,45,1272.5,SB09775_201909100812_1450M_36b,-,Y
9793,test closepack36 1272.5 MHz,ERRORED,Standard,AS106,2019-09-10 11:50:13.655460,2019-09-10 11:51:11.878693,58,closepack36,0.9,45,1272.5,SB09775_201909100812_1450M_36b,-,Y
9794,test closepack36 1272.5 MHz,OBSERVED,Standard,AS106,2019-09-10 11:51:37.412070,2019-09-10 11:57:20.822754,343,closepack36,0.9,45,1272.5,SB09775_201909100812_1450M_36b,-,Y
