# relevant FRB info from Tyson (width) and Clancy (scattering)
#FRB      fbar          Dm           w      tau
20180924    1320       361.74        2      0.59
20181112     1297.5    589.265     0.04     0.023
20190102    1297.5     364.55      0.639    0.027
20190608    1271.5     338.7       10.8     3.83
20190611    1271.5     322.7       1.592    0.044
20190711    1271.5     587.74      10.99    0.0076
20190714    1271.5     504.13      6.279    0.422
20191001    919.5      507         13.468   4.52
20191228    1271.5     296         13.596   5.85
20200430    863.5      379.6       10.492   6.5
20200906    864.5      577.81      0.00001  0.0315
20210117    1271.5     729.1       3.582    0.115
20210320    863.5      384.59      0.884    0.245
20210407    1271.5     1784.9      1.62     0.09
20210912    1271.5     1233.7      1.612    0.048
20211127    1271.5     234.86      0.483    0.012
20211203    920.5      635.16      22.508   1.66
20211212    1631.5     200         5.628    1.8
20220105    1631.5     581.5       2.25     0.43
20220501    863.5      449.1       6.9      0.35
20220610    1271.5     1457.6      2        0.521
20220725    919.5      290         8.016    2.29
20220918    1271.5     660         13.851   7.66
20221106    1631.5     343         6.895    0.182
20230526    1271.5     316.1       2.7      1.16
20230708    919.5      411.52      23.678   0.24
20230718    1271.5     476.64      0.695    0.117
20230731    1271.5     700.73      2.655    0.45
20230902    832.5      440.166     0.678    0.123
20231226    863.5      328.73      9.72     0.17
20240201    920.5      373.514     3.901    0.78
20240208    863.5      259.83      10.274   1.35
20240210    863.5      283.97      1.539    0.1
20240304    832.5      653.4       0.00001  2.51
20240310    902.5      601.76      4.879    2.23
20240318    902.5      256.18      0.837    0.191
