BW    336 #MHz
NFRB 62 #Number of FRBs
BEAM chime_bound_3 #prefix of beam file
TOBS 0.283 # Actually the solid angle of observation!
THRESH 5 #Jy ms to a 1 ms burst, very basic. Likely higher
SNRTHRESH 10 # signal-to-noise threshold: scales jy ms to snr.
TRES 0.983 #ms
FRES 0.0244
FBAR 600 # mean frequency (MHz)
KEY  Xname         DM     DMG     SNR     WIDTH  NREP
FRB  FRB20180801A  656.7   91.1   20.4    0.580  1 
FRB  FRB20180806A  739.2   39.9   13.9    1.410  1 
FRB  FRB20180814B  237.8   40.6   18.7    0.764  1 
FRB  FRB20180814B  237.8   40.6   18.7    0.830  1 
FRB  FRB20180907C  638.9   92.1   11.3    0.000  1 
FRB  FRB20180917B  860.5   46.6   16.5    2.470  1 
FRB  FRB20180923A  218.4   99.0   16.1    0.150  1 
FRB  FRB20180925A  236.2   69.1   11.3    4.520  1 
FRB  FRB20181017B  304.1   40.4   12.6    2.310  1 
FRB  FRB20181018B  292.8  112.1   35.6    0.478  1 
FRB  FRB20181020A 1111.2   70.9   11.6    1.960  1 
FRB  FRB20181117B  540.2   67.0   17.1    1.000  1 
FRB  FRB20181117B  540.2   67.0   17.1    1.280  1 
FRB  FRB20181203C 2442.4   35.3   10.3    3.650  1 
FRB  FRB20181213A  677.7   47.6   16.1    1.359  1 
FRB  FRB20181218A 1873.1  145.9   18.6    1.390  1 
FRB  FRB20181219B 1950.7   35.8   23.1    0.574  1 
FRB  FRB20181226E  308.9   69.0   16.5    1.169  1 
FRB  FRB20181227A  791.0   88.8    9.2    0.748  1 
FRB  FRB20181230B 1135.5   83.1   12.8    4.300  1 
FRB  FRB20190116C  629.2   41.8   74.4    0.708  1 
FRB  FRB20190116F  315.4   45.3   13.6    1.230  1 
FRB  FRB20190117C  865.4   52.8   10.2    0.770  1 
FRB  FRB20190121A  423.8   85.8   31.3    1.080  1 
FRB  FRB20190128C  304.1   64.8   10.1    6.160  1 
FRB  FRB20190203A  418.9   44.2   32.0    0.550  1 
FRB  FRB20190204B 1463.8   44.4   28.0    1.022  1 
FRB  FRB20190206C 1044.9   40.2    9.3    2.010  1 
FRB  FRB20190206B  355.8   81.8    9.7    7.100  1 
FRB  FRB20190218C  318.6   43.0   67.5    0.206  1 
FRB  FRB20190220A  215.1   39.9   10.3    0.550  1 
FRB  FRB20190301B  619.5   81.0    9.3    1.320  1 
FRB  FRB20190301D 1159.7   52.1   10.4    0.000  1 
FRB  FRB20190303D  710.1   36.0    9.8    0.810  1 
FRB  FRB20190304A  483.6   49.7   22.3    0.408  1 
FRB  FRB20190313B 1192.1   60.7   14.1    0.640  1 
FRB  FRB20190318A  420.5   86.6   24.8    0.930  1 
FRB  FRB20190322B  577.4   47.4   10.1    1.300  1 
FRB  FRB20190322C 1192.1   65.8   53.1    0.140  1 
FRB  FRB20190323B  787.7   38.4   57.2    0.134  1 
FRB  FRB20190326A  283.1   40.5   11.7    0.457  1 
FRB  FRB20190329B  406.0   65.9   15.3    0.420  1 
FRB  FRB20190329A  189.2   88.4   11.7    1.040  1 
FRB  FRB20190401A  779.6   38.8   22.9    3.520  1 
FRB  FRB20190408A  862.1   44.7    9.2    0.839  1 
FRB  FRB20190409C  674.5   42.9   11.2    1.080  1 
FRB  FRB20190415A  632.4   35.7   12.1    2.480  1 
FRB  FRB20190417C  318.6  120.4   52.2    0.413  1 
FRB  FRB20190420B  844.3   64.9   28.0    0.300  1 
FRB  FRB20190518G  525.7   63.8   20.2    0.666  1 
FRB  FRB20190519F  799.0   43.3   20.2    1.360  1 
FRB  FRB20190519G  433.5   76.9   28.3    3.060  1 
FRB  FRB20190601D  669.6   65.0   10.6    4.670  1 
FRB  FRB20190603B  503.0   99.0   11.8    1.540  1 
FRB  FRB20190612A  427.0   36.4   16.6    1.940  1 
FRB  FRB20190621D  645.4   48.6   17.4    2.290  1 
FRB  FRB20190624B  215.1   70.9   39.1    0.372  1 
FRB  FRB20190627C  968.9   48.3   49.9    0.820  1 
FRB  FRB20180814A  190.9   89.4   11.0    2.540  20 
FRB  FRB20180908B  197.3   40.3   11.3    1.882  2 
FRB  FRB20181030A  101.9   39.6   11.5    0.695  2 
FRB  FRB20190209A  423.8   44.7   11.8    1.430  2 
