BW 400 #MHz
NFRB 31 #Number of FRBs
BEAM chime_bound_12_of_30 #prefix of beam file
TOBS 0.6843958322844007 # Actually the solid angle of observation!
THRESH 5 #Jy ms to a 1 ms burst, very basic. 95% comleteness. Likely lower
SNRTHRESH 10 # signal-to-noise threshold: scales jy ms to snr.
TRES 0.983 #ms
FRES 0.0244 #Mhz
FBAR 600 # mean frequency (MHz)
KEY  TNS         DM     DMG     SNR     WIDTH  NREP
FRB  FRB20180906A  383.5   43.5   10.5    1.350  1 
FRB  FRB20180907B  658.2   38.1   15.4    0.210  1 
FRB  FRB20180915A  371.0  171.9   13.4    0.800  1 
FRB  FRB20181014B  888.0  102.6   20.9    0.730  1 
FRB  FRB20181030D  289.4  123.5   21.5    0.362  1 
FRB  FRB20181102A  414.5  155.7   11.9    0.690  1 
FRB  FRB20181104C  580.8  105.3   62.2    1.460  1 
FRB  FRB20181202A  668.0   38.8   27.0    0.590  1 
FRB  FRB20181229B  389.0   29.3   11.1    3.360  1 
FRB  FRB20190103B  541.1  187.1   15.7    5.830  1 
FRB  FRB20190114A  887.4   38.1   11.5    1.340  1 
FRB  FRB20190122C  689.9   24.4   43.2    5.000  1 
FRB  FRB20190124E  617.8  392.0   13.6    5.740  1 
FRB  FRB20190128D  430.2  232.8    9.4    1.270  1 
FRB  FRB20190130B  989.0   29.7   23.6    0.265  1 
FRB  FRB20190202A  307.4   40.8  101.0    0.710  1 
FRB  FRB20190214C  533.1   22.1   15.5    1.680  1 
FRB  FRB20190218B  547.9   81.6   11.1    2.050  1 
FRB  FRB20190222B  497.6   33.2   10.0    1.520  1 
FRB  FRB20190224C  497.4   59.9   18.3    0.290  1 
FRB  FRB20190316A  515.9   38.9   12.7    0.834  1 
FRB  FRB20190410B  642.2   78.4   20.4    0.423  1 
FRB  FRB20190411C  233.7   38.9   32.2    0.890  1 
FRB  FRB20190412B  375.8  264.9   12.7    6.800  1 
FRB  FRB20190418A  184.5   70.1   20.4    0.706  1 
FRB  FRB20190518B  913.8   26.1   12.8    0.610  1 
FRB  FRB20190604D 1021.2   24.8   15.2    1.630  1 
FRB  FRB20190608A  722.2   38.4   12.1    0.386  1 
FRB  FRB20190613A  715.0   53.5   18.2    3.870  1 
FRB  FRB20190117A  393.4   48.2   24.2    1.494  2 
FRB  FRB20190213A  651.1   43.1    9.5    1.510  2 
