BW 400 #MHz
NFRB 28 #Number of FRBs
BEAM chime_bound_18_of_30 #prefix of beam file
TOBS 0.1324939678767341 # Actually the solid angle of observation!
THRESH 5 #Jy ms to a 1 ms burst, very basic. 95% comleteness. Likely lower
SNRTHRESH 10 # signal-to-noise threshold: scales jy ms to snr.
TRES 0.983 #ms
FRES 0.0244 #Mhz
FBAR 600 # mean frequency (MHz)
KEY  TNS         DM     DMG     SNR     WIDTH  NREP
FRB  FRB20180801A  655.7   90.1   20.4    0.580  1 
FRB  FRB20180806A  739.9   40.6   13.9    1.410  1 
FRB  FRB20180814B  238.3   41.1   18.7    0.830  1 
FRB  FRB20180923A  219.4  100.0   16.1    0.150  1 
FRB  FRB20181018B  293.9  113.2   35.6    0.478  1 
FRB  FRB20181203C 2444.6   37.5   10.3    3.650  1 
FRB  FRB20181213A  678.7   48.6   16.1    1.359  1 
FRB  FRB20181226E  308.8   68.9   16.5    1.169  1 
FRB  FRB20190116F  316.9   46.8   13.6    1.230  1 
FRB  FRB20190117C  865.9   53.3   10.2    0.770  1 
FRB  FRB20190204B 1464.9   45.5   28.0    1.022  1 
FRB  FRB20190206C 1043.0   38.3    9.3    2.010  1 
FRB  FRB20190220A  216.1   40.9   10.3    0.550  1 
FRB  FRB20190301B  621.3   82.8    9.3    1.320  1 
FRB  FRB20190301D 1160.7   53.1   10.4    0.000  1 
FRB  FRB20190304A  483.7   49.8   22.3    0.408  1 
FRB  FRB20190313B 1191.2   59.8   14.1    0.640  1 
FRB  FRB20190318A  419.3   85.4   24.8    0.930  1 
FRB  FRB20190322B  577.0   47.0   10.1    1.300  1 
FRB  FRB20190326A  283.3   40.7   11.7    0.457  1 
FRB  FRB20190329A  188.6   87.8   11.7    1.040  1 
FRB  FRB20190518G  524.9   63.0   20.2    0.666  1 
FRB  FRB20190519G  430.1   73.5   28.3    3.060  1 
FRB  FRB20190603B  504.3  100.3   11.8    1.540  1 
FRB  FRB20190624B  213.9   69.7   39.1    0.372  1 
FRB  FRB20180814A  189.3   87.8   11.0    2.540  11 
FRB  FRB20180908B  195.2   38.2   11.3    1.882  2 
FRB  FRB20181030A  103.4   41.1   11.5    0.695  2
