,TNS,Nubar,Nant,SNdet,SNoff,DM,DMErr,DMstruct,DMstructErr,Wsnr,W95,Z,TauObs,TauObsErr,TauAlpha,TauAlphaErr,NUTau,Tau1GHz,Tau1GHzErr,Components,L/I,L/IErr,V/I,V/IErr,P/I,P/IErr,RM,RMErr,RMMW,RMMWErr,Calibrator,PATrend,m,NU_c,NU_dc,NU_dcErr,Alpha_dc,Alpha_dcErr,nudctau,nudctauErr,LzLgMax,LzLgMaxErr
0,20180924B,1320.0,24,21.1,77.0,361.75,0.015,361.74,0.14,0.91,2.0,0.3214,0.59,0.01,-3.68,0.04,1297.5,1.56,0.13,s,0.89,0.02,0.09,0.02,0.9,0.02,17.3,0.8,16.5,5.0,VELA,0.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
1,20181112A,1297.5,11,19.3,220.0,589.265,0.001,589.265,0.001,0.1,1.2,0.4755,0.023,0.002,-2.0,0.3,1297.5,0.039,0.006,m,0.9,0.0,0.1,0.0,0.9,0.0,10.5,0.4,16.2,5.9,VELA,2.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
2,20190102C,1297.5,23,14.0,167.0,364.55,0.015,364.55,0.02,0.076,1.25,0.29,0.027,0.012,-5.5,1.0,1271.5,0.09,0.06,m,0.96,0.02,0.02,0.02,0.97,0.02,-106.1,0.9,26.6,7.7,VELA,2.0,0.41,1271.5,0.6,0.3,10.0,9999.0,101.0,68.0,9999.0,9999.0
3,20190608B,1271.5,25,16.1,41.0,340.0,1.0,338.7,0.9,4.95,10.8,0.1178,3.83,0.15,-3.37,1.3,1269.5,8.5,1.2,s,1.0,0.04,0.02,0.02,1.0,0.04,353.0,1.0,-24.4,13.3,VELA,2.0,0.78,1271.5,1.4,0.1,5.8,0.5,33700.0,2700.0,6.6,0.5
4,20190611B,1271.5,20,9.5,27.0,322.4,0.1,322.7,0.34,0.076,1.592,0.378,0.03,0.015,0.3,2.0,1252.7,0.03,0.02,m,0.74,0.04,0.29,0.04,0.8,0.04,17.0,3.0,29.0,10.8,VELA,2.0,0.96,1271.5,1.5,0.2,-2.0,1.0,282.0,146.0,9999.0,9999.0
5,20190711A,1271.5,28,23.8,46.0,592.0,2.0,587.74,0.025,8.6,10.99,0.522,0.0076,0.002,-2.5,1.1,1172.9,0.011,0.005,m,0.98,0.03,0.14,0.02,0.99,0.03,4.0,1.0,19.4,6.5,VELA,2.0,0.64,1136.9,0.11,0.01,-10.0,5.0,5.2,1.5,9999.0,9999.0
6,20190714A,1271.5,28,10.7,52.0,504.7,0.3,504.13,0.4,0.86,2.99,0.2365,0.422,0.008,-2.7,0.6,1286.6,0.83,0.05,s,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,VELA,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
7,20191001A,919.5,30,37.1,108.0,507.0,0.3,507.0,0.65,5.3,13.468,0.23,4.52,0.03,-4.85,0.3,826.4,1.78,0.04,s,0.53,0.01,0.05,0.01,0.54,0.01,51.1,0.4,23.5,4.3,VELA,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
8,20191228B,1271.5,21,22.9,74.0,297.0,1.0,296.0,2.0,7.8,13.596,0.2432,5.85,0.2,-3.6,0.6,1273.0,14.0,1.0,s,0.93,0.02,0.1,0.02,0.94,0.02,11.9,0.9,18.2,6.1,VELA,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
9,20200430A,863.5,26,13.9,67.0,379.9,0.55,379.6,0.55,11.0,22.68,0.161,6.5,0.15,-1.45,0.2,863.5,5.25,0.25,s,0.43,0.02,0.04,0.02,0.43,0.02,195.3,0.7,14.5,7.0,2045-1616,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
10,20200906A,864.5,7,16.1,347.0,577.8,0.2,577.81,0.01,0.057,0.128,0.3688,0.0315,0.0007,-4.5,0.4,846.4,0.0148,0.0004,s,0.8,0.005,0.073,0.004,0.804,0.005,75.47,0.08,30.3,19.8,VELA,2.0,0.92,1271.5,1.99,0.01,3.0,1.0,394.0,9.0,11600.0,300.0
11,20210117A,1271.5,21,17.7,112.0,729.2,0.15,729.1,0.35,1.24,3.584,0.214,0.25,0.2,5.0,8.0,1274.5,0.15,0.1,m,0.92,0.02,0.05,0.01,0.92,0.02,-45.8,0.7,3.3,9.2,VELA,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
12,20210320C,863.5,24,15.3,161.0,384.6,0.02,384.59,0.02,0.381,0.884,0.28,0.193,0.007,-4.4,0.1,828.4,0.084,0.004,m,0.86,0.008,0.117,0.006,0.868,0.008,288.8,0.2,-2.8,5.7,1644,1.0,0.83,824.2,0.91,0.03,2.0,1.0,480.0,28.0,1150.0,70.0
13,20210407E,1271.5,15,19.1,131.0,1784.8,0.2,1784.9,0.35,0.743,1.62,9999.0,0.09,0.02,-1.2,1.6,1219.8,0.08,0.03,m,0.97,0.01,0.09,0.01,0.98,0.01,-9.1,0.6,-59.6,28.6,VELA,2.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
14,20210912A,1271.5,22,31.2,479.0,1233.72,0.015,1233.7,0.025,0.095,1.612,9999.0,0.048,0.008,-2.5,0.9,1275.6,0.09,0.03,m,0.625,0.005,0.37,0.005,0.726,0.004,6.0,0.5,8.4,3.8,VELA,2.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
15,20211127I,1271.5,24,37.9,340.0,234.83,0.08,234.86,7.02,0.229,0.483,0.046946,0.025,0.02,0.0,5.5,1272.5,0.02,0.02,m,0.244,0.003,0.129,0.003,0.276,0.003,-67.0,1.0,-2.9,6.2,N/A,2.0,0.74,1271.5,2.88,0.09,3.3,0.2,450.0,360.0,9999.0,9999.0
16,20211203C,920.5,24,14.2,47.0,636.2,0.4,635.16,0.935,12.4,25.449,0.3439,1.66,0.16,-9.7,2.4,891.4,0.55,0.1,s,0.57,0.02,0.07,0.03,0.58,0.02,34.3,1.2,-29.2,9.1,1644,0.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
17,20211212A,1631.5,24,10.5,45.0,200.0,1.5,200.0,3.5,2.1,5.628,0.0707,1.8,0.1,-2.8,2.3,1490.8,8.0,6.0,s,0.47,0.02,0.09,0.02,0.48,0.02,21.0,7.0,6.0,5.7,1644,0.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
18,20220105A,1631.5,22,9.8,42.0,583.0,2.0,581.5,3.35,0.95,2.25,0.2785,0.43,0.01,-2.0,0.8,1649.8,1.2,0.5,m,0.3,0.03,0.05,0.03,0.3,0.03,-1312.0,8.0,3.9,1.5,1644,0.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
19,20220501C,863.5,23,14.8,79.0,449.6,0.3,449.1,0.25,6.1,6.9,0.381,0.35,0.25,4.0,8.0,864.5,0.43,0.3,m,0.68,0.02,0.06,0.02,0.69,0.02,35.5,0.3,9.6,4.5,VELA,2.0,0.44,863.5,9.2,0.5,-1.0,2.0,20200.0,14500.0,9999.0,9999.0
20,20220610A,1271.5,22,23.9,62.0,1458.1,0.4,1457.6,0.85,1.07,2.0,1.015,0.521,0.001,-3.56,0.03,1149.4,0.855,0.008,s,0.98,0.01,0.065,0.007,0.99,0.01,217.0,2.0,11.9,4.9,VELA,0.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
21,20220725A,919.5,25,10.9,49.0,290.1,0.35,290.0,0.25,3.43,8.016,0.1926,2.29,0.05,-1.94,0.06,1149.4,1.95,0.05,a,0.58,0.02,0.13,0.03,0.6,0.02,-26.3,0.7,-190.7,49.8,VELA,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
22,20220918A,1271.5,24,26.3,21.0,643.0,5.5,660.0,25.0,11.43,13.851,0.491,7.66,0.1,-2.1,0.03,1133.5,10.0,1.1,s,0.15,0.01,0.13,0.02,0.19,0.02,559.0,23.0,14.6,9.8,VELA,0.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
23,20221106A,1631.5,21,19.7,133.0,343.2,0.8,343.0,0.3,5.33,6.895,0.2044,0.182,0.006,-0.7,1.3,1649.6,0.25,0.09,s,0.862,0.008,0.078,0.006,0.865,0.008,444.0,1.0,34.7,11.4,VELA,2.0,0.84,1631.5,2.0,1.0,1.4,0.5,2290.0,1150.0,9999.0,9999.0
24,20230526A,1271.5,22,22.1,88.0,316.2,0.2,316.1,0.2,2.0,2.7,0.157,1.16,0.01,-3.6,0.3,1272.2,2.75,0.1,a,0.391,0.008,0.04,0.008,0.393,0.008,613.0,2.0,9.7,6.1,VELA,2.0,0.81,1271.5,2.6,0.1,-6.0,4.0,18950.0,750.0,63.0,2.0
25,20230708A,919.5,23,30.5,270.0,411.54,0.045,411.52,0.065,1.14,23.578,0.105,0.24,0.02,-2.84,0.4,920.5,0.21,0.005,m,0.95,0.01,0.39,0.01,1.03,0.01,-7.5,0.4,43.6,10.5,VELA,2.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
26,20230718A,1271.5,22,10.9,104.0,476.67,0.09,476.64,0.15,0.55,0.695,0.035,0.117,0.005,-1.6,0.7,1272.2,0.17,0.02,m,0.92,0.02,0.11,0.01,0.92,0.02,243.1,0.6,186.4,50.4,1644,0.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
27,20230731A,1271.5,25,16.6,61.0,701.1,0.3,700.73,0.45,0.65,2.655,9999.0,0.45,0.05,-2.3,0.6,1271.8,0.78,0.04,a,0.42,0.02,0.23,0.02,0.48,0.02,268.0,5.0,213.6,67.3,?????,1.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
28,20230902A,832.5,22,11.8,113.0,440.1,0.1,440.166,0.02,0.229,0.678,0.3619,0.123,0.002,-2.55,0.08,812.4,0.072,0.002,m,0.91,0.01,0.05,0.01,0.91,0.01,164.8,0.2,10.1,6.3,VELA,1.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
29,20231226A,863.5,22,36.7,96.0,329.9,0.1,328.73,1.37,5.3,9.72,9999.0,0.1,0.07,-1.0,3.0,762.8,0.25,0.2,m,0.86,0.02,0.04,0.01,0.86,0.02,428.4,0.3,13.0,6.8,VELA,2.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
30,20240201A,920.5,24,13.9,63.0,374.5,0.2,373.514,0.35,3.05,3.901,0.042729,0.78,0.04,-3.9,0.5,915.5,0.46,0.06,m,0.76,0.02,0.09,0.02,0.76,0.02,1275.0,0.4,5.9,6.5,1644,2.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
31,20240208A,863.5,14,12.1,21.0,260.2,0.3,259.83,0.12,1.7,10.0,9999.0,1.35,0.25,-2.7,2.1,864.1,1.0,0.45,s,0.94,0.09,0.08,0.08,0.94,0.09,-73.7,1.4,3.9,6.3,1644,0.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
32,20240210A,863.5,23,11.6,59.0,283.73,0.05,283.97,0.03,0.305,1.539,0.023686,0.1,0.03,-3.6,0.3,863.5,0.59,0.04,m,0.73,0.02,0.14,0.02,0.74,0.02,-325.0,1.0,0.8,3.4,VELA,2.0,0.71,863.5,2.7,0.1,1.0,2.0,1700.0,500.0,58.0,17.0
33,20240304A,832.5,24,12.3,44.0,652.6,0.5,653.4,4.35,8.57,19.0,9999.0,2.51,0.12,3.5,1.3,877.0,4.0,0.5,s,0.92,0.03,0.04,0.02,0.92,0.03,489.7,0.8,2.4,5.1,1644,2.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
34,20240310A,902.5,25,19.1,40.0,601.8,0.2,601.76,0.855,4.19,13.493,0.127,2.23,0.07,-3.23,0.5,846.4,1.3,0.13,s,0.72,0.03,0.09,0.03,0.72,0.03,-1709.2,1.1,-4.8,7.4,VELA,2.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0
35,20240318A,902.5,23,13.2,119.0,256.4,0.3,256.18,0.015,0.286,0.837,9999.0,0.163,0.01,-3.32,0.005,920.5,0.128,0.005,m,0.8,0.02,0.13,0.01,0.81,0.02,-48.5,0.3,14.3,2.3,1644,1.0,0.8,919.5,4.1,0.2,1.0,1.0,4200.0,330.0,9999.0,9999.0
