    # FRB             S/N     DM      DMgal   Freq        dt    w   theta_d   Fnu       Zloc    Nants   RF
    20171020          19.5   114.1    38.4   1297.5     1.260  1.70   0.722  200      0.00867   1       200
    20180924          21.1   362.4    40.5   1297.5     0.864  1.76   0.23   16       0.32140   24      18.4
    20181112          19.3   589.0    40.2   1297.5     0.864  2.10   0.31   26       0.47550   12      28
    20190102          14.0   364.5    57.3   1271.5     0.864  1.70   0.23   14       0.29000   23      16
    20190608          16.1   339.5    37.2   1271.5     1.728  6.00   0.36   26       0.11780   25      28
    20190611          9.5    322.2    57.6   1271.5     1.728  2.00   0.48   10       0.37800   25      10
    20190711          23.8   594.6    56.6   1271.5     1.728  6.50   0.08   34       0.52200   29      36
    20190714          10.7   504.7    38.5   1271.5     1.728  2.90   0.46   12       0.20900   28      12
    20191001          37.1   506.9    44.2   919.5      1.728  4.20   0.58   143      0.23000   30      120
    20191228          22.9   297.5    32.9   1271.5     1.728  2.30   0.49   40       0.24300   28      67
    20200430          13.9   380.1    27.0   864.5      1.728  6.50   0.48   35       0.16100   26      35
    20200906          10.5   577.8    35.9   864.5      1.728  6.00   0.65   59       0.36879   7       53
    20210117          27.1   730.0    34.4   1271.5     1.182  3.2    0.464  36       0.21400   25      36
    20210320          15.3   384      42     864.5      1.182  5.4    1.12  -1        0.28      26      59
    20210807          47.1   251.9    121.2  920.5      1.182  10.00  0.453   113     0.12969   23      100
    20211127          37.9   234.8    42.5   1271.5     1.182  1.41   0.16   31       0.04695   24      35
    20211203          14.2   636.2    63.4   920.5      1.182  9.60   0.212   28       0.34386   24      30
    20211212          12.8   206.0    27.1   1632.5     1.182  2.70   0.77   36       0.07150   24      131
    20220105          9.8    583.0    22.0   1632.5     1.182  2.00   0.443   16       0.27850   22      19
    20220501          16.1   449.5    30.6   863.5      1.182  6.50   0.516  30       0.38100   23      32
    20220610          29.8   1458.1   31.0   1271.5     1.182  5.60   0.073  43       1.01600   22      47
    20220725          12.7   290.4    30.7   920.5      1.182  4.10   1.272  100      0.19260   25      72
    20220918          26.4   657      41     1271.5     1.182  7.1    0.457  -1       0.491     25      55
    20230526         22.1   361.4    50     1271.5      1.182  4.7    0.383   -1       0.157     22      34
    20230708         31.5   411.5    50.2   920.5       1.182  23.6   0.657  -1       0.105     23      111
    20230718         10.9   477      395.6  1271.5      1.182  3.5    0.317  -1       0.035     22      14
    20230731         16.6   701      547.1  1271.5      1.182  3.5    0.51  -1       -1        25      25
    20230902         11.8   440      34.3   831.5       1.182  5.9    0.63  -1       0.3619    22      23
    20231226         36.7   329.9    38     863.5       1.182  11.8   0.739  -1       0.1569    22      78
