TNS,z,mr,pmr
20180924B,0.3214,21.32
20181112A,0.4755,21.49
20190102C,0.29,20.73
20190608B,0.1178,17.15
20190611B,0.378,22.35
20190711A,0.522,22.93
20190714A,0.2365,19.47
20191001A,0.23,17.82
20191228B,0.2432,21.92
20200430A,0.161,21.18
20200906A,0.3688,20.70
20210117A,0.214,22.95
20210320C,0.28,19.23
20210807D,0.1293,17.35
20211127I,0.046946,15.38
20211203C,0.3439,20.29
20211212A,0.0707,16.21
20220105A,0.2785,21.53
20220501C,0.381,20.57
20220610A,1.015,23.99
20220725A,0.1926,17.83
20220918A,0.491,23.6
20221106A,0.2044,18.34
20230526A,0.157,21.15
20230708A,0.105,22.73
20230902A,0.3619,21.52
20231226A,0.156,19.01
20240201A,0.042729,16.97
20240210A,0.023686,15.13
20240304A,0.2423,21.08
20240310A,0.127,20.16
