z,mr,phost
0.0112,13.25,0.99
0.0368,15.41,0.99
0.0433,16.15,0.97
0.0894,16.51,0.97
0.0939,19.10,0.99
0.1139,20.20,0.97
0.1270,19.94,0.95
0.1582,19.43,0.98
0.2395,18.81,0.99
0.2414,20.74,0.99
0.2481,20.45,0.98
0.2505,21.38,0.99
0.2621,18.53,0.90
0.2706,19.48,0.97
0.2764,19.01,0.94
0.2847,19.64,0.99
0.300,19.91,0.99
0.3015,21.86,0.99
0.3270,19.97,0.99
0.3510,20.80,0.56
0.3619,20.95,0.99
0.3714,23.35,0.63
0.4012,23.00,0.99
0.4525,21.36,0.99
0.4780,21.20,0.97
0.5310,21.38,0.42
0.5422,22.84,0.62
0.5530,22.61,0.99
0.6214,21.22,0.97
0.9750,23.17,0.92
