BW    288 #MHz
FRES  1 #MHz
DIAM 12
NBEAMS 36
BEAM lat50_log #prefix of beam file
FBAR 1320
TRES  1.7 #ms
SNRTHRESH 9.5
NFRB 1000
NORM_FRB 1000
TOBS 96.65 # days of 100% efficient operation
THRESH 0.99 #Jy ms to 1 ms burst [ 22 Jy ms / 24 antennas *sqrt{336/288} bandwidth factor]
KEY ID 	DM    	DMG     DMEG	Z	SNR	WIDTH
# fake data from MC simulations
FRB 0   550.1  35    465.1  0.313    25.5    2.0 
FRB 1   273.7  35    188.7  0.020    22.8    2.0 
FRB 2   680.2  35    595.2  0.645    10.2    1.0 
FRB 3   515.1  35    430.1  0.179    36.1    3.0 
FRB 4   572.3  35    487.3  0.207    44.0    5.0 
FRB 5   330.9  35    245.9  0.299    17.6    4.0 
FRB 6   888.9  35    803.9  0.737    22.3    3.0 
FRB 7   378.2  35    293.2  0.358    25.7    2.0 
FRB 8   458.5  35    373.5  0.047   104.3    1.0 
FRB 9  1047.4  35    962.4  1.259    19.8    2.0 
FRB 10   349.8  35    264.8  0.300    39.3    4.0 
FRB 11   376.2  35    291.2  0.476    15.3    2.0 
FRB 12   240.3  35    155.3  0.254    33.6    1.0 
FRB 13   495.1  35    410.1  0.486    13.1    3.0 
FRB 14   302.0  35    217.0  0.061    16.2    3.0 
FRB 15   465.4  35    380.4  0.222    46.8    3.0 
FRB 16   298.9  35    213.9  0.173    12.0    3.0 
FRB 17   362.7  35    277.7  0.074    12.0    4.0 
FRB 18  1707.5  35   1622.5  0.842    16.8    3.0 
FRB 19   122.8  35     37.8  0.003    53.0    2.0 
FRB 20   405.5  35    320.5  0.538    58.0    3.0 
FRB 21   896.8  35    811.8  0.754    13.1    3.0 
FRB 22   300.8  35    215.8  0.163    19.6    2.0 
FRB 23   913.3  35    828.3  0.768    10.6    2.0 
FRB 24   763.0  35    678.0  0.716    31.8    3.0 
FRB 25  1107.1  35   1022.1  1.020    13.2    2.0 
FRB 26   417.6  35    332.6  0.352   138.9    1.0 
FRB 27   355.0  35    270.0  0.283    14.8    2.0 
FRB 28   240.7  35    155.7  0.038    18.7    3.0 
FRB 29   618.0  35    533.0  0.318    37.9    4.0 
FRB 30   975.5  35    890.5  0.407    17.5    2.0 
FRB 31   403.9  35    318.9  0.124    10.0    3.0 
FRB 32   975.2  35    890.2  1.093    11.3    2.0 
FRB 33   142.8  35     57.8  0.001    20.2    4.0 
FRB 34   299.6  35    214.6  0.208    16.5    1.0 
FRB 35   243.5  35    158.5  0.050    10.1    0.0 
FRB 36  1455.2  35   1370.2  1.873    10.6    2.0 
FRB 37   178.4  35     93.4  0.082    68.0    2.0 
FRB 38   719.1  35    634.1  0.927    10.1    4.0 
FRB 39   795.7  35    710.7  0.495    11.8    1.0 
FRB 40   397.4  35    312.4  0.347    10.4    2.0 
FRB 41   350.3  35    265.3  0.111    18.2    2.0 
FRB 42   218.6  35    133.6  0.092    12.9    1.0 
FRB 43   332.3  35    247.3  0.179    29.6    3.0 
FRB 44   435.0  35    350.0  0.256    16.5    3.0 
FRB 45   568.2  35    483.2  0.463    11.9    1.0 
FRB 46  1062.3  35    977.3  1.071    18.1    1.0 
FRB 47   401.7  35    316.7  0.293    30.1    2.0 
FRB 48   589.2  35    504.2  0.503    13.1    1.0 
FRB 49   244.4  35    159.4  0.014    36.6    3.0 
FRB 50   223.5  35    138.5  0.224   193.2    3.0 
FRB 51  1308.0  35   1223.0  0.453    10.3    2.0 
FRB 52   384.5  35    299.5  0.286    23.9    1.0 
FRB 53   678.3  35    593.3  0.588    10.5    3.0 
FRB 54   488.8  35    403.8  0.333     9.8    1.0 
FRB 55   418.4  35    333.4  0.382    12.0    2.0 
FRB 56   388.3  35    303.3  0.354    55.5    4.0 
FRB 57   479.7  35    394.7  0.135    55.6    2.0 
FRB 58   176.3  35     91.3  0.078    40.5    2.0 
FRB 59   328.3  35    243.3  0.277    16.8    1.0 
FRB 60   577.7  35    492.7  0.683    38.5    2.0 
FRB 61   509.6  35    424.6  0.359    11.7    0.0 
FRB 62   398.7  35    313.7  0.483    18.9    2.0 
FRB 63   691.3  35    606.3  0.197    20.8    2.0 
FRB 64   493.2  35    408.2  0.374    15.2    3.0 
FRB 65   350.9  35    265.9  0.028    93.5    3.0 
FRB 66   428.1  35    343.1  0.435    16.8    4.0 
FRB 67   801.0  35    716.0  1.053    16.2    4.0 
FRB 68   412.7  35    327.7  0.172    15.2    2.0 
FRB 69   907.4  35    822.4  0.497    26.8    1.0 
FRB 70   461.0  35    376.0  0.272   125.7    3.0 
FRB 71   943.3  35    858.3  0.638    16.8    3.0 
FRB 72   419.5  35    334.5  0.234    59.2    1.0 
FRB 73   187.7  35    102.7  0.064   168.5    2.0 
FRB 74   551.6  35    466.6  0.459    26.4    3.0 
FRB 75   276.6  35    191.6  0.288    25.6    0.0 
FRB 76   275.7  35    190.7  0.141    28.0    3.0 
FRB 77   421.4  35    336.4  0.097    13.7    1.0 
FRB 78   345.1  35    260.1  0.222    11.3    1.0 
FRB 79   476.7  35    391.7  0.191    15.6    3.0 
FRB 80   277.7  35    192.7  0.055   645.9    1.0 
FRB 81   411.0  35    326.0  0.333    12.3    2.0 
FRB 82   654.8  35    569.8  0.060    16.8    4.0 
FRB 83   440.5  35    355.5  0.101    20.4    0.0 
FRB 84   355.8  35    270.8  0.184    89.8    3.0 
FRB 85   627.5  35    542.5  0.428    13.5    5.0 
FRB 86  1497.3  35   1412.3  1.597    10.1    3.0 
FRB 87   220.6  35    135.6  0.127    16.7    3.0 
