BW    288 #MHz
FRES  1 #MHz
DIAM 12
NBEAMS 36
BEAM lat50_log #prefix of beam file
FBAR 1320
TRES  1.7 #ms
SNRTHRESH 9.5
NFRB 5000
NORM_FRB 5000
TOBS 96.65 # days of 100% efficient operation
THRESH 0.99 #Jy ms to 1 ms burst [ 22 Jy ms / 24 antennas *sqrt{336/288} bandwidth factor]
KEY ID 	DM    	DMG     DMEG	Z	SNR	WIDTH
# fake data from MC simulations
FRB 0   496.4  35    411.4  0.207   108.9    3.0 
FRB 1   480.2  35    395.2  0.512    12.2    5.0 
FRB 2   613.2  35    528.2  0.374    10.0    1.0 
FRB 3   146.7  35     61.7  0.001    20.8    3.0 
FRB 4   501.2  35    416.2  0.041    10.9    1.0 
FRB 5   333.7  35    248.7  0.157    21.4    1.0 
FRB 6   345.4  35    260.4  0.111    10.6    3.0 
FRB 7   900.7  35    815.7  0.127    36.1    2.0 
FRB 8  1032.6  35    947.6  0.577    12.3    2.0 
FRB 9   492.6  35    407.6  0.379    16.3    3.0 
FRB 10   313.2  35    228.2  0.264    23.1    2.0 
FRB 11   259.8  35    174.8  0.138    32.4    2.0 
FRB 12   395.1  35    310.1  0.221    15.4    5.0 
FRB 13   280.7  35    195.7  0.141    29.0    2.0 
FRB 14   294.2  35    209.2  0.193    29.7    3.0 
FRB 15   283.5  35    198.5  0.257    80.6    3.0 
FRB 16   322.6  35    237.6  0.001    12.3    2.0 
FRB 17   820.6  35    735.6  0.195    14.7    2.0 
FRB 18   431.6  35    346.6  0.443    18.9    2.0 
FRB 19   642.8  35    557.8  0.086    10.3    1.0 
FRB 20   477.5  35    392.5  0.034    18.0    2.0 
FRB 21   642.0  35    557.0  0.686    11.2    3.0 
FRB 22   806.2  35    721.2  0.997    10.2    0.0 
FRB 23   388.6  35    303.6  0.110   128.2    1.0 
FRB 24   596.2  35    511.2  0.553    20.5    1.0 
FRB 25   456.1  35    371.1  0.141    83.7    4.0 
FRB 26   436.7  35    351.7  0.564    30.5    3.0 
FRB 27   143.9  35     58.9  0.027     9.5    4.0 
FRB 28  1257.9  35   1172.9  0.480    10.7    2.0 
FRB 29   340.3  35    255.3  0.338    25.6    0.0 
FRB 30   509.9  35    424.9  0.134    14.6    2.0 
FRB 31   163.1  35     78.1  0.020    10.2    3.0 
FRB 32   496.1  35    411.1  0.552   112.6    1.0 
FRB 33   765.4  35    680.4  0.059    58.7    2.0 
FRB 34   584.4  35    499.4  0.590    32.9    2.0 
FRB 35   297.3  35    212.3  0.041    17.4    3.0 
FRB 36   350.1  35    265.1  0.204    22.0    1.0 
FRB 37   433.0  35    348.0  0.529    13.5    3.0 
FRB 38   752.7  35    667.7  0.293    10.5    2.0 
FRB 39   454.5  35    369.5  0.496   101.0    1.0 
FRB 40   441.9  35    356.9  0.289   147.0    1.0 
FRB 41   183.0  35     98.0  0.093    43.9    1.0 
FRB 42   765.0  35    680.0  0.593    11.4    2.0 
FRB 43   855.6  35    770.6  0.443    40.6    1.0 
FRB 44   347.7  35    262.7  0.068    25.9    2.0 
FRB 45  1135.2  35   1050.2  0.747     9.7    3.0 
FRB 46   690.0  35    605.0  0.259    17.1    2.0 
FRB 47   428.6  35    343.6  0.207    66.0    5.0 
FRB 48   688.7  35    603.7  0.413    36.7    3.0 
FRB 49   669.0  35    584.0  0.250    13.9    2.0 
FRB 50  1189.3  35   1104.3  1.009    11.2    0.0 
FRB 51   243.5  35    158.5  0.162    15.1    2.0 
FRB 52   661.5  35    576.5  0.709    28.0    3.0 
FRB 53   768.2  35    683.2  0.846    10.9    2.0 
FRB 54   655.2  35    570.2  0.311    37.5    3.0 
FRB 55   226.1  35    141.1  0.147   156.0    4.0 
FRB 56   553.3  35    468.3  0.080    30.2    1.0 
FRB 57   384.1  35    299.1  0.240    19.4    3.0 
FRB 58   472.3  35    387.3  0.305   111.9    2.0 
FRB 59   575.2  35    490.2  0.312    10.3    1.0 
FRB 60   641.3  35    556.3  0.337    12.2    2.0 
FRB 61   498.6  35    413.6  0.373    15.1    2.0 
FRB 62   199.1  35    114.1  0.076    18.3    2.0 
FRB 63   436.1  35    351.1  0.203    17.1    2.0 
FRB 64   641.2  35    556.2  0.703    17.4    0.0 
FRB 65   244.1  35    159.1  0.067    11.1    2.0 
FRB 66   954.5  35    869.5  0.850    18.6    1.0 
FRB 67   268.9  35    183.9  0.059    34.7    4.0 
FRB 68   431.1  35    346.1  0.069    21.4    3.0 
FRB 69   317.8  35    232.8  0.173     9.8    1.0 
FRB 70   499.7  35    414.7  0.387    26.4    2.0 
FRB 71   529.2  35    444.2  0.689    14.7    1.0 
FRB 72   531.9  35    446.9  0.436    23.3    3.0 
FRB 73   390.6  35    305.6  0.394    34.3    2.0 
FRB 74   906.3  35    821.3  0.804    34.9    0.0 
FRB 75  1219.4  35   1134.4  0.908    12.1    4.0 
FRB 76   590.7  35    505.7  0.528    17.1    1.0 
FRB 77   655.8  35    570.8  0.872     9.5    4.0 
FRB 78  1184.6  35   1099.6  0.902    27.1    2.0 
FRB 79   324.4  35    239.4  0.040   169.2    0.0 
FRB 80   690.5  35    605.5  0.602    75.2    2.0 
FRB 81   230.2  35    145.2  0.091    13.7    3.0 
FRB 82   635.8  35    550.8  0.612    16.4    3.0 
FRB 83   698.3  35    613.3  0.356    30.0    4.0 
FRB 84  1139.9  35   1054.9  1.451    11.9    2.0 
FRB 85  2249.1  35   2164.1  0.779    13.3    2.0 
FRB 86   422.4  35    337.4  0.456    18.5    1.0 
FRB 87  1071.6  35    986.6  1.098    14.1    3.0 
FRB 88   846.4  35    761.4  0.257    12.2    3.0 
FRB 89  1155.2  35   1070.2  0.899    13.7    3.0 
FRB 90   202.2  35    117.2  0.173    10.5    3.0 
FRB 91   374.2  35    289.2  0.340    15.1    1.0 
FRB 92  1043.8  35    958.8  0.431    42.7    2.0 
FRB 93  1235.6  35   1150.6  1.248    12.3    3.0 
FRB 94   588.7  35    503.7  0.261    20.3    2.0 
FRB 95   202.1  35    117.1  0.001    10.1    3.0 
FRB 96  1010.7  35    925.7  1.031    11.2    3.0 
FRB 97   464.1  35    379.1  0.521    13.7    2.0 
FRB 98   391.6  35    306.6  0.435   143.5    2.0 
FRB 99   430.2  35    345.2  0.454     9.8    1.0 
FRB 100   346.4  35    261.4  0.200    19.9    1.0 
FRB 101   292.4  35    207.4  0.132    45.0    4.0 
FRB 102   234.5  35    149.5  0.137    70.5    5.0 
FRB 103   636.7  35    551.7  0.773    11.8    2.0 
FRB 104  1031.1  35    946.1  0.773    11.5    1.0 
FRB 105   456.1  35    371.1  0.388    15.3    4.0 
FRB 106   433.0  35    348.0  0.365    59.9    2.0 
FRB 107   227.2  35    142.2  0.179    30.2    4.0 
FRB 108   350.3  35    265.3  0.318    45.8    3.0 
FRB 109   810.6  35    725.6  0.767    14.7    2.0 
FRB 110   652.9  35    567.9  0.633    12.3    2.0 
FRB 111   243.3  35    158.3  0.226    64.6    5.0 
FRB 112   817.1  35    732.1  0.703    46.8    1.0 
FRB 113   632.5  35    547.5  0.075    20.3    5.0 
FRB 114   955.0  35    870.0  0.174    13.6    3.0 
FRB 115   353.7  35    268.7  0.362    12.4    2.0 
FRB 116   928.3  35    843.3  0.398    12.7    1.0 
FRB 117   799.7  35    714.7  0.486    22.0    3.0 
FRB 118   231.9  35    146.9  0.151    49.5    2.0 
FRB 119   423.2  35    338.2  0.268    11.4    3.0 
FRB 120  1616.8  35   1531.8  1.099    17.7    2.0 
FRB 121   606.6  35    521.6  0.307    10.1    3.0 
FRB 122   339.6  35    254.6  0.289    19.2    2.0 
FRB 123   312.3  35    227.3  0.057    17.7    4.0 
FRB 124   413.3  35    328.3  0.296   192.2    2.0 
FRB 125   336.7  35    251.7  0.350    61.1    2.0 
FRB 126   712.4  35    627.4  0.791    10.5    3.0 
FRB 127   645.3  35    560.3  0.682    10.9    2.0 
FRB 128   304.1  35    219.1  0.080    10.9    3.0 
FRB 129   858.8  35    773.8  0.100    25.0    1.0 
FRB 130   570.5  35    485.5  0.544    12.9    2.0 
FRB 131   667.6  35    582.6  0.323     9.8    1.0 
FRB 132   891.9  35    806.9  1.015    11.2    4.0 
FRB 133   686.3  35    601.3  0.809    11.3    3.0 
FRB 134  1065.3  35    980.3  1.307    11.8    3.0 
FRB 135   673.7  35    588.7  0.916    21.5    1.0 
FRB 136  1552.6  35   1467.6  0.365    13.8    3.0 
FRB 137   481.0  35    396.0  0.084    14.5    4.0 
FRB 138   263.9  35    178.9  0.243    27.2    2.0 
FRB 139   808.9  35    723.9  0.222    17.3    2.0 
FRB 140   658.6  35    573.6  0.845    23.5    2.0 
