BW    288 #MHz
FRES  1 #MHz
DIAM 12
NBEAMS 36
BEAM lat50_log #prefix of beam file
FBAR 1320
TRES  1.7 #ms
SNRTHRESH 9.5
NFRB 5000
NORM_FRB 5000
TOBS 96.65 # days of 100% efficient operation
THRESH 0.99 #Jy ms to 1 ms burst [ 22 Jy ms / 24 antennas *sqrt{336/288} bandwidth factor]
KEY ID 	DM    	DMG     DMEG	Z	SNR	WIDTH
# fake data from MC simulations
FRB 0   789.0  35    704.0  0.948    10.4    3.0 
FRB 1   709.5  35    624.5  0.373    29.2    1.0 
FRB 2   190.2  35    105.2  0.055    43.5    2.0 
FRB 3   323.3  35    238.3  0.077    15.6    2.0 
FRB 4  1893.3  35   1808.3  1.000    20.3    4.0 
FRB 5   502.7  35    417.7  0.539    16.1    2.0 
FRB 6   986.7  35    901.7  0.465    27.7    3.0 
FRB 7   365.1  35    280.1  0.275    24.7    2.0 
FRB 8   282.1  35    197.1  0.250    44.4    1.0 
FRB 9   939.9  35    854.9  1.032    10.0    2.0 
FRB 10   184.5  35     99.5  0.123    93.7    2.0 
FRB 11   182.2  35     97.2  0.078   201.1    1.0 
FRB 12   518.0  35    433.0  0.242    22.5    2.0 
FRB 13   174.8  35     89.8  0.102    11.9    0.0 
FRB 14   581.9  35    496.9  0.492    50.9    1.0 
FRB 15   544.9  35    459.9  0.303    20.0    4.0 
FRB 16   393.6  35    308.6  0.314     9.6    2.0 
FRB 17   982.4  35    897.4  0.422    13.9    2.0 
FRB 18   540.2  35    455.2  0.693     9.9    2.0 
FRB 19   507.5  35    422.5  0.381    15.3    2.0 
FRB 20   892.0  35    807.0  1.192    13.6    1.0 
FRB 21   805.7  35    720.7  0.535     9.7    3.0 
FRB 22   809.3  35    724.3  0.441    44.8    4.0 
FRB 23  1143.9  35   1058.9  0.893    10.3    1.0 
FRB 24  1270.0  35   1185.0  0.099    18.0    1.0 
FRB 25   436.5  35    351.5  0.317    14.2    0.0 
FRB 26   804.8  35    719.8  0.548     9.6    1.0 
FRB 27   662.0  35    577.0  0.356    10.2    2.0 
FRB 28   515.9  35    430.9  0.451    18.6    2.0 
FRB 29   818.4  35    733.4  0.407    11.2    1.0 
FRB 30  1061.6  35    976.6  0.740    10.5    2.0 
FRB 31   892.3  35    807.3  0.378    14.3    3.0 
FRB 32   280.5  35    195.5  0.241   453.8    0.0 
FRB 33   832.9  35    747.9  0.908    11.9    3.0 
FRB 34   664.9  35    579.9  0.699    10.4    2.0 
FRB 35   360.2  35    275.2  0.176    37.4    1.0 
FRB 36  1325.2  35   1240.2  1.376     9.8    3.0 
FRB 37   504.4  35    419.4  0.493    60.9    2.0 
FRB 38   919.0  35    834.0  0.734    14.1    2.0 
FRB 39   336.9  35    251.9  0.229    17.5    1.0 
FRB 40   325.6  35    240.6  0.228    39.0    3.0 
FRB 41   506.2  35    421.2  0.345    14.3    3.0 
FRB 42   211.4  35    126.4  0.096     9.9    1.0 
FRB 43   330.2  35    245.2  0.293    15.6    1.0 
FRB 44   465.9  35    380.9  0.309    27.9    2.0 
FRB 45   609.3  35    524.3  0.527    54.1    1.0 
FRB 46   515.0  35    430.0  0.198    11.2    1.0 
FRB 47  1145.4  35   1060.4  1.353    10.9    1.0 
FRB 48   743.4  35    658.4  0.232     9.7    3.0 
FRB 49   460.5  35    375.5  0.376    11.4    2.0 
FRB 50  2302.7  35   2217.7  0.500    10.0    4.0 
FRB 51   710.3  35    625.3  0.116    11.6    3.0 
FRB 52   298.5  35    213.5  0.383    11.4    2.0 
FRB 53   469.3  35    384.3  0.394    11.5    2.0 
FRB 54   570.1  35    485.1  0.639    30.7    3.0 
FRB 55   258.2  35    173.2  0.143    11.8    4.0 
FRB 56   325.8  35    240.8  0.014    35.3    4.0 
FRB 57   911.4  35    826.4  0.270    29.1    2.0 
FRB 58   880.3  35    795.3  1.199    40.0    1.0 
FRB 59   317.6  35    232.6  0.311     9.9    2.0 
FRB 60  1077.3  35    992.3  0.437    12.3    2.0 
FRB 61   172.7  35     87.7  0.050    29.4    1.0 
FRB 62   369.5  35    284.5  0.003    39.2    4.0 
FRB 63   337.3  35    252.3  0.272    35.3    3.0 
FRB 64   186.2  35    101.2  0.093    12.8    3.0 
FRB 65  1296.1  35   1211.1  1.379    10.7    3.0 
FRB 66   346.0  35    261.0  0.060    31.4    4.0 
FRB 67  1026.1  35    941.1  0.974    10.4    3.0 
FRB 68   288.3  35    203.3  0.138    20.7    2.0 
FRB 69   697.2  35    612.2  0.494    10.7    3.0 
FRB 70  1019.1  35    934.1  0.416    10.6    4.0 
FRB 71   345.7  35    260.7  0.197    25.8    2.0 
FRB 72   810.2  35    725.2  0.558    11.5    3.0 
FRB 73   510.6  35    425.6  0.045    19.9    3.0 
FRB 74   777.1  35    692.1  0.677    20.9    1.0 
FRB 75   274.2  35    189.2  0.176    26.9    4.0 
FRB 76   246.3  35    161.3  0.003    10.9    3.0 
FRB 77   330.4  35    245.4  0.354    24.0    4.0 
FRB 78   161.7  35     76.7  0.101    10.4    2.0 
FRB 79   829.0  35    744.0  0.638    25.2    2.0 
FRB 80   577.8  35    492.8  0.621    11.6    2.0 
FRB 81   668.2  35    583.2  0.253   219.2    3.0 
FRB 82   292.2  35    207.2  0.017   157.6    4.0 
FRB 83  1020.6  35    935.6  0.991    11.1    4.0 
FRB 84   256.8  35    171.8  0.062    97.1    2.0 
FRB 85   510.4  35    425.4  0.088   333.5    3.0 
FRB 86   229.5  35    144.5  0.016    13.1    1.0 
FRB 87   512.2  35    427.2  0.516     9.7    3.0 
FRB 88   542.7  35    457.7  0.591    18.1    2.0 
FRB 89   453.9  35    368.9  0.094    11.9    2.0 
FRB 90   289.1  35    204.1  0.220    14.4    1.0 
FRB 91   555.0  35    470.0  0.639    14.4    0.0 
FRB 92   240.9  35    155.9  0.106    22.4    4.0 
FRB 93   242.1  35    157.1  0.127    13.1    2.0 
FRB 94   740.6  35    655.6  0.579    11.9    3.0 
FRB 95   604.2  35    519.2  0.648    26.0    3.0 
FRB 96   339.4  35    254.4  0.216    42.1    3.0 
FRB 97   550.5  35    465.5  0.769    11.9    2.0 
FRB 98  1331.3  35   1246.3  1.652    10.2    1.0 
FRB 99   984.3  35    899.3  1.003    20.8    2.0 
FRB 100   152.9  35     67.9  0.068   113.5    4.0 
FRB 101   472.6  35    387.6  0.303    20.6    3.0 
FRB 102   214.9  35    129.9  0.081    69.3    3.0 
FRB 103   701.7  35    616.7  0.472    26.9    4.0 
FRB 104   210.8  35    125.8  0.123   267.5    2.0 
FRB 105   742.5  35    657.5  0.709    12.0    2.0 
FRB 106   325.4  35    240.4  0.108    73.5    3.0 
FRB 107  1141.4  35   1056.4  0.929    11.3    4.0 
FRB 108   989.5  35    904.5  0.875    35.8    1.0 
