BW    288 #MHz
FRES  1 #MHz
NFRB 1 #Number of FRBs
DIAM 12
NBEAMS 36
BEAM lat50_log #prefix of beam file
FBAR 1320
TRES  1.7 #ms
SNRTHRESH 9.5
NFRB 1000
NORM_FRB 1000
TOBS 966.5 # days of 100% efficient operation
THRESH 0.99 #Jy ms to 1 ms burst [ 22 Jy ms / 24 antennas *sqrt{336/288} bandwidth factor]
KEY ID 	DM    	DMG     DMEG	Z	SNR	WIDTH
# fake data from MC simulations
FRB 0   431.2  35    346.2  0.303    13.9    2.0
FRB 1   525.0  35    440.0  0.352    30.6    2.0
FRB 2   406.3  35    321.3  0.398    14.3    3.0
FRB 3   893.0  35    808.0  0.789    10.7    2.0
FRB 4  1024.9  35    939.9  1.063     9.6    3.0
FRB 5   204.8  35    119.8  0.117   107.1    2.0
FRB 6   761.7  35    676.7  0.635    26.0    2.0
FRB 7   268.4  35    183.4  0.046    15.2    2.0
FRB 8   653.5  35    568.5  0.398    12.9    4.0
FRB 9   301.4  35    216.4  0.311    15.4    3.0
FRB 10   136.2  35     51.2  0.066    23.6    1.0
FRB 11   410.9  35    325.9  0.080   146.7    3.0
FRB 12   503.6  35    418.6  0.634    18.5    4.0
FRB 13  1038.6  35    953.6  0.485    13.3    1.0
FRB 14   619.1  35    534.1  0.582    15.4    3.0
FRB 15   595.9  35    510.9  0.531    12.8    3.0
FRB 16   143.7  35     58.7  0.010   1344.3    2.0
FRB 17   230.9  35    145.9  0.151    25.9    1.0
FRB 18   256.1  35    171.1  0.171    11.6    3.0
FRB 19   406.7  35    321.7  0.374    13.9    2.0
FRB 20   257.8  35    172.8  0.138    45.5    2.0
FRB 21   550.3  35    465.3  0.123    80.8    2.0
FRB 22   846.7  35    761.7  0.801    19.6    2.0
FRB 23  1266.9  35   1181.9  -1.000    10.8    2.0
FRB 24   193.2  35    108.2  0.042   555.0    2.0
FRB 25   472.4  35    387.4  0.345    11.8    2.0
FRB 26   391.6  35    306.6  0.150    10.3    2.0
FRB 27   661.6  35    576.6  0.285    42.0    1.0
FRB 28  1049.2  35    964.2  0.878    24.3    4.0
FRB 29   430.0  35    345.0  0.482     9.6    2.0
FRB 30  1764.2  35   1679.2  -1.000    69.7    3.0
FRB 31   713.2  35    628.2  0.463    34.7    0.0
FRB 32   531.5  35    446.5  0.520    10.4    3.0
FRB 33   478.4  35    393.4  0.513    12.5    4.0
FRB 34   362.0  35    277.0  0.090    19.9    2.0
FRB 35   230.6  35    145.6  0.111    12.6    4.0
FRB 36   560.5  35    475.5  0.688    40.7    1.0
FRB 37   477.8  35    392.8  0.059    28.6    3.0
FRB 38  1082.0  35    997.0  1.214    13.2    2.0
FRB 39   314.1  35    229.1  0.136    10.9    2.0
FRB 40   130.6  35     45.6  0.019   119.1    1.0
FRB 41   404.9  35    319.9  0.424    23.3    3.0
FRB 42   190.2  35    105.2  0.077    20.8    2.0
FRB 43   359.0  35    274.0  0.106    35.8    2.0
FRB 44   935.8  35    850.8  0.814    12.1    2.0
FRB 45   245.1  35    160.1  0.305    30.4    0.0
FRB 46   405.7  35    320.7  0.138    11.7    3.0
FRB 47  1223.9  35   1138.9  -1.000    28.7    3.0
FRB 48   712.0  35    627.0  0.529    43.2    3.0
FRB 49   630.1  35    545.1  0.622    19.8    0.0
FRB 50   725.7  35    640.7  0.807    10.2    4.0
FRB 51   296.5  35    211.5  0.181    12.5    1.0
FRB 52   385.3  35    300.3  0.065    10.5    0.0
FRB 53   679.0  35    594.0  0.368    52.7    2.0
FRB 54   842.4  35    757.4  0.900    10.2    3.0
FRB 55   249.9  35    164.9  0.078    35.6    3.0
FRB 56   464.5  35    379.5  0.342    12.1    2.0
FRB 57  1207.1  35   1122.1  -1.000    19.2    2.0
FRB 58   240.6  35    155.6  0.023    54.1    1.0
FRB 59   633.2  35    548.2  0.678    23.0    1.0
FRB 60   641.8  35    556.8  0.561    12.2    3.0
FRB 61   965.7  35    880.7  0.749    10.8    3.0
FRB 62   547.1  35    462.1  0.473     9.7    3.0
FRB 63   328.5  35    243.5  0.127    10.7    5.0
FRB 64   154.4  35     69.4  0.047    14.9    2.0
FRB 65   508.4  35    423.4  0.020   103.7    1.0
FRB 66   463.7  35    378.7  0.117    12.9    3.0
FRB 67   597.8  35    512.8  0.531    12.3    2.0
FRB 68   295.8  35    210.8  0.171    11.3    2.0
FRB 69  1961.0  35   1876.0  -1.000    10.2    2.0
FRB 70   351.8  35    266.8  0.312    24.5    3.0
FRB 71   548.8  35    463.8  0.120    65.8    0.0
FRB 72   499.3  35    414.3  0.002    10.7    3.0
FRB 73   860.2  35    775.2  0.740    30.1    2.0
FRB 74   273.0  35    188.0  0.057    12.6    2.0
FRB 75   279.9  35    194.9  0.220    17.7    3.0
FRB 76  1194.9  35   1109.9  -1.000    12.1    2.0
FRB 77   427.2  35    342.2  0.388    11.1    3.0
FRB 78  1107.0  35   1022.0  -1.000    10.9    3.0
FRB 79   141.1  35     56.1  0.006    12.4    4.0
FRB 80   689.9  35    604.9  0.620    12.0    4.0
FRB 81   668.2  35    583.2  0.060    11.4    5.0
FRB 82  1157.9  35   1072.9  -1.000    28.3    3.0
FRB 83   185.8  35    100.8  0.088    12.8    3.0
FRB 84   403.1  35    318.1  0.224    19.1    3.0
FRB 85  1177.4  35   1092.4  -1.000    16.9    2.0
FRB 86   333.2  35    248.2  0.236   159.5    1.0
FRB 87   278.2  35    193.2  0.192    56.4    3.0
FRB 88  1355.1  35   1270.1  -1.000    15.8    3.0
FRB 89   248.4  35    163.4  0.054    21.1    4.0
FRB 90   303.2  35    218.2  0.067    84.7    2.0
FRB 91   967.8  35    882.8  0.934    13.2    3.0
FRB 92   324.8  35    239.8  0.335    11.9    3.0
FRB 93   783.4  35    698.4  0.345    11.4    2.0
FRB 94   608.0  35    523.0  0.350     9.7    2.0
FRB 95   554.6  35    469.6  0.689    17.2    0.0
FRB 96   671.5  35    586.5  0.692    17.1    2.0
FRB 97   495.1  35    410.1  0.459    16.0    4.0
FRB 98   526.1  35    441.1  0.340   175.4    4.0
FRB 99   581.6  35    496.6  0.285    12.1    3.0
FRB 100  1102.1  35   1017.1  -1.000    11.1    2.0
FRB 101   600.4  35    515.4  0.354    20.1    2.0
FRB 102   316.4  35    231.4  0.211    12.1    3.0
FRB 103   764.8  35    679.8  0.429    11.4    1.0
FRB 104  1012.4  35    927.4  1.101    11.3    2.0
FRB 105  1369.6  35   1284.6  -1.000    17.8    0.0
FRB 106   973.7  35    888.7  0.806    15.7    2.0
FRB 107   743.9  35    658.9  0.646    27.1    2.0
FRB 108   237.8  35    152.8  0.143    82.2    4.0
FRB 109   355.0  35    270.0  0.204    13.1    0.0
FRB 110   528.1  35    443.1  0.546    14.4    4.0
FRB 111   453.1  35    368.1  0.364    32.0    4.0
FRB 112   188.7  35    103.7  0.125    14.8    0.0
FRB 113   152.3  35     67.3  0.004    13.1    2.0
FRB 114   209.5  35    124.5  0.174    10.7    1.0
FRB 115   246.8  35    161.8  0.094    17.4    4.0
FRB 116   394.9  35    309.9  0.354    17.8    3.0
FRB 117   571.2  35    486.2  0.093    15.5    1.0
FRB 118   472.6  35    387.6  0.243    31.5    2.0
FRB 119   592.2  35    507.2  0.340    13.1    2.0
FRB 120   291.3  35    206.3  0.200    15.6    4.0
FRB 121   966.0  35    881.0  0.463    16.1    3.0
FRB 122   658.6  35    573.6  0.476    20.2    2.0
FRB 123   441.0  35    356.0  0.424    11.9    1.0
FRB 124   615.9  35    530.9  0.393    63.1    3.0
FRB 125   387.0  35    302.0  0.189    10.8    2.0
FRB 126   443.0  35    358.0  0.406    69.3    3.0
FRB 127   362.9  35    277.9  0.178     9.7    3.0
FRB 128   705.9  35    620.9  0.716    16.1    3.0
FRB 129   517.1  35    432.1  0.182   172.0    1.0
FRB 130   472.8  35    387.8  0.256    11.3    2.0
FRB 131   479.7  35    394.7  0.036    46.2    1.0
FRB 132  1243.6  35   1158.6  -1.000    11.0    1.0
FRB 133  1054.4  35    969.4  0.361    70.4    1.0
FRB 134   531.8  35    446.8  0.494    17.2    3.0
