BW    288 #MHz
FRES  1 #MHz
DIAM 12
NBEAMS 36
BEAM lat50_log #prefix of beam file
FBAR 1320
TRES  1.7 #ms
SNRTHRESH 9.5
NFRB 100
NORM_FRB 100
TOBS 96.65 # days of 100% efficient operation
THRESH 0.99 #Jy ms to 1 ms burst [ 22 Jy ms / 24 antennas *sqrt{336/288} bandwidth factor]
KEY ID 	DM    	DMG     DMEG	Z	SNR	WIDTH
# fake data from MC simulations
FRB 0   215.9  35    130.9  0.074    10.0    2.0
FRB 1   474.5  35    389.5  0.715    16.9    2.0
FRB 2   375.8  35    290.8  0.068    10.0    2.0
FRB 3   304.5  35    219.5  0.122    14.6    2.0
FRB 4   396.2  35    311.2  0.416    12.9    3.0
FRB 5  1285.4  35   1200.4  0.942    10.0    2.0
FRB 6   930.7  35    845.7  1.022    19.8    2.0
FRB 7   298.7  35    213.7  0.011    45.4    3.0
FRB 8   627.0  35    542.0  0.563    34.5    2.0
FRB 9  1366.7  35   1281.7  0.942    16.2    3.0
FRB 10   493.4  35    408.4  0.487    32.9    2.0
FRB 11   127.1  35     42.1  0.029    55.0    2.0
FRB 12   601.3  35    516.3  0.483    41.2    4.0
FRB 13   279.6  35    194.6  0.252     9.5    3.0
FRB 14   146.7  35     61.7  0.059    36.1    4.0
FRB 15   488.1  35    403.1  0.261    25.1    3.0
FRB 16  1156.8  35   1071.8  1.344    17.1    2.0
FRB 17   339.8  35    254.8  0.161    46.7    3.0
FRB 18   277.6  35    192.6  0.150     9.6    4.0
FRB 19   517.5  35    432.5  0.309    10.3    3.0
FRB 20   640.8  35    555.8  0.756    17.5    2.0
FRB 21   421.9  35    336.9  0.496    55.3    2.0
FRB 22   408.5  35    323.5  0.275    80.2    2.0
FRB 23  1214.4  35   1129.4  0.867    14.2    2.0
FRB 24   312.7  35    227.7  0.231    19.5    2.0
FRB 25   256.6  35    171.6  0.113    18.7    4.0
FRB 26   790.3  35    705.3  1.034    16.0    2.0
FRB 27   610.7  35    525.7  0.182   323.7    1.0
