BW    336 #MHz
FRES  1 #MHz
NFRB 5388 #Number of FRBs
DIAM 12
NBEAMS 36
BEAM lat50_log #prefix of beam file
THRESH 6.844 #Jy ms to a 1 ms burst, very basic. Likely higher
SNRTHRESH 14 # signal-to-noise threshold: scales jy ms to snr
KEY ID 		DM   DMG DMEG	Z       SNR     w
FRB 3   248.6  35    163.6  0.160    27.1    3.0
FRB 4   179.7  35     94.7  0.031    81.9    2.0
FRB 5   198.1  35    113.1  0.177    34.3    4.0
FRB 7   198.4  35    113.4  0.106    19.8    3.0
FRB 9   249.4  35    164.4  0.038    21.5    3.0
FRB 12   190.6  35    105.6  0.062    15.4    4.0
FRB 13   360.0  35    275.0  0.360    61.3    3.0
FRB 18   495.9  35    410.9  0.148    22.1    4.0
FRB 19   473.8  35    388.8  0.356    18.2    2.0
FRB 21   570.4  35    485.4  0.638    16.5    3.0
FRB 25   589.3  35    504.3  0.191    14.5    3.0
FRB 27   335.9  35    250.9  0.188    30.4    2.0
FRB 30   409.9  35    324.9  0.241    17.3    3.0
FRB 34   307.0  35    222.0  0.237    22.8    2.0
FRB 35   237.5  35    152.5  0.071   252.6    4.0
FRB 36   224.1  35    139.1  0.133    42.4    3.0
FRB 38   328.0  35    243.0  0.053    38.9    4.0
FRB 40   326.6  35    241.6  0.336    14.6    3.0
FRB 41   749.9  35    664.9  0.279    31.5    2.0
FRB 42   362.7  35    277.7  0.121    18.0    2.0
FRB 43   174.5  35     89.5  0.118    15.6    3.0
FRB 44   474.4  35    389.4  0.252    14.7    2.0
FRB 46   323.2  35    238.2  0.131    17.1    1.0
FRB 49   255.1  35    170.1  0.123    59.2    2.0
FRB 56   187.0  35    102.0  0.062    16.4    4.0
FRB 58   277.3  35    192.3  0.007    64.5    5.0
FRB 59   411.7  35    326.7  0.256    78.0    1.0
FRB 60   272.8  35    187.8  0.137    27.3    3.0
FRB 61   654.1  35    569.1  0.564    16.7    3.0
FRB 63   414.6  35    329.6  0.276    30.7    3.0
FRB 65   387.3  35    302.3  0.230    22.1    2.0
FRB 66   577.7  35    492.7  0.350    21.9    3.0
FRB 68   290.9  35    205.9  0.280    22.2    2.0
FRB 69   880.2  35    795.2  0.434    16.9    1.0
FRB 70   343.7  35    258.7  0.088    14.6    1.0
FRB 73   208.4  35    123.4  0.022    18.0    2.0
FRB 74   424.9  35    339.9  0.308    23.8    2.0
FRB 78   233.2  35    148.2  0.010    81.3    3.0
FRB 81   842.3  35    757.3  0.213    41.1    3.0
FRB 82  1157.5  35   1072.5  0.488    35.1    2.0
FRB 84   211.2  35    126.2  0.099    15.6    4.0
FRB 85   489.1  35    404.1  0.236    16.7    1.0
FRB 86   542.9  35    457.9  0.513    18.3    3.0
FRB 88   259.8  35    174.8  0.080   123.5    1.0
FRB 90   667.3  35    582.3  0.068    33.6    4.0
FRB 94   366.6  35    281.6  0.156    25.0    1.0
FRB 97   480.4  35    395.4  0.118    16.7    3.0
FRB 98   790.0  35    705.0  0.218    20.6    3.0
FRB 100   365.0  35    280.0  0.349    22.4    2.0
FRB 101   551.1  35    466.1  0.242    24.6    3.0
FRB 102   486.7  35    401.7  0.401    37.1    2.0
FRB 103   391.1  35    306.1  0.095    56.9    3.0
FRB 105  1286.4  35   1201.4  0.073    15.3    1.0
FRB 108   209.0  35    124.0  0.029    56.4    2.0
FRB 109   452.9  35    367.9  0.095    40.1    1.0
