BW    336 #MHz
FRES  1 #MHz
NFRB 10000 #Number of FRBs
DIAM 12
NBEAMS 36
BEAM lat50_log #prefix of beam file
THRESH 4.4 #Jy ms to a 1 ms burst, very basic. Likely higher
SNRTHRESH 9 # signal-to-noise threshold: scales jy ms to snr
KEY ID 		DM   DMG DMEG	Z       SNR     w
FRB 0   843.9  35    758.9  0.700     9.5    2.0
FRB 1   470.3  35    385.3  0.254     9.0    2.0
FRB 2   460.5  35    375.5  0.454    13.0    3.0
FRB 3   248.6  35    163.6  0.160    27.1    3.0
FRB 4   179.7  35     94.7  0.031    81.9    2.0
FRB 5   198.1  35    113.1  0.177    34.3    4.0
FRB 6   511.4  35    426.4  0.048    10.5    2.0
FRB 7   198.4  35    113.4  0.106    19.8    3.0
FRB 8   240.4  35    155.4  0.029    11.1    4.0
FRB 9   249.4  35    164.4  0.038    21.5    3.0
FRB 10   148.1  35     63.1  0.073     9.1    4.0
FRB 11   646.1  35    561.1  0.392     9.7    3.0
FRB 12   190.6  35    105.6  0.062    15.4    4.0
FRB 13   360.0  35    275.0  0.360    61.3    3.0
FRB 14   404.9  35    319.9  0.237    13.4    1.0
FRB 15   134.3  35     49.3  0.056     9.2    2.0
FRB 16   553.1  35    468.1  0.472     9.1    3.0
FRB 17   184.6  35     99.6  0.034    12.0    2.0
FRB 18   495.9  35    410.9  0.148    22.1    4.0
FRB 19   473.8  35    388.8  0.356    18.2    2.0
FRB 20   477.3  35    392.3  0.216    12.7    2.0
FRB 21   570.4  35    485.4  0.638    16.5    3.0
FRB 22   211.4  35    126.4  0.064    11.4    2.0
FRB 23   601.0  35    516.0  0.472    10.3    1.0
FRB 24   269.8  35    184.8  0.073    10.0    2.0
FRB 25   589.3  35    504.3  0.191    14.5    3.0
FRB 26   673.8  35    588.8  0.409     9.0    0.0
FRB 27   335.9  35    250.9  0.188    30.4    2.0
FRB 28   356.2  35    271.2  0.235    14.0    2.0
FRB 29   485.5  35    400.5  0.497     9.3    3.0
FRB 30   409.9  35    324.9  0.241    17.3    3.0
FRB 31   255.7  35    170.7  0.102    13.0    2.0
FRB 32   405.0  35    320.0  0.414     9.0    2.0
FRB 33   325.1  35    240.1  0.227    10.8    4.0
FRB 34   307.0  35    222.0  0.237    22.8    2.0
FRB 35   237.5  35    152.5  0.071   252.6    4.0
FRB 36   224.1  35    139.1  0.133    42.4    3.0
FRB 37   318.3  35    233.3  0.194    10.9    3.0
FRB 38   328.0  35    243.0  0.053    38.9    4.0
FRB 39   231.5  35    146.5  0.181    12.5    3.0
FRB 40   326.6  35    241.6  0.336    14.6    3.0
FRB 41   749.9  35    664.9  0.279    31.5    2.0
FRB 42   362.7  35    277.7  0.121    18.0    2.0
FRB 43   174.5  35     89.5  0.118    15.6    3.0
FRB 44   474.4  35    389.4  0.252    14.7    2.0
FRB 45   299.5  35    214.5  0.222    10.2    3.0
FRB 46   323.2  35    238.2  0.131    17.1    1.0
FRB 47   792.7  35    707.7  0.020    10.8    3.0
