BW    336 #MHz
FRES  1 #MHz
NFRB 7694 #Number of FRBs
DIAM 12
NBEAMS 36
BEAM lat50_log #prefix of beam file
THRESH 4.4 #Jy ms to a 1 ms burst, very basic. Likely higher
SNRTHRESH 9 # signal-to-noise threshold: scales jy ms to snr
KEY ID 		DM   DMG DMEG	Z       SNR     w
FRB 1   470.3  35    385.3  0.254     9.0    2.0
FRB 3   248.6  35    163.6  0.160    27.1    3.0
FRB 4   179.7  35     94.7  0.031    81.9    2.0
FRB 5   198.1  35    113.1  0.177    34.3    4.0
FRB 6   511.4  35    426.4  0.048    10.5    2.0
FRB 7   198.4  35    113.4  0.106    19.8    3.0
FRB 9   249.4  35    164.4  0.038    21.5    3.0
FRB 10   148.1  35     63.1  0.073     9.1    4.0
FRB 12   190.6  35    105.6  0.062    15.4    4.0
FRB 13   360.0  35    275.0  0.360    61.3    3.0
FRB 14   404.9  35    319.9  0.237    13.4    1.0
FRB 16   553.1  35    468.1  0.472     9.1    3.0
FRB 18   495.9  35    410.9  0.148    22.1    4.0
FRB 19   473.8  35    388.8  0.356    18.2    2.0
FRB 20   477.3  35    392.3  0.216    12.7    2.0
FRB 21   570.4  35    485.4  0.638    16.5    3.0
FRB 23   601.0  35    516.0  0.472    10.3    1.0
FRB 25   589.3  35    504.3  0.191    14.5    3.0
FRB 26   673.8  35    588.8  0.409     9.0    0.0
FRB 27   335.9  35    250.9  0.188    30.4    2.0
FRB 29   485.5  35    400.5  0.497     9.3    3.0
FRB 30   409.9  35    324.9  0.241    17.3    3.0
FRB 32   405.0  35    320.0  0.414     9.0    2.0
FRB 34   307.0  35    222.0  0.237    22.8    2.0
FRB 35   237.5  35    152.5  0.071   252.6    4.0
FRB 36   224.1  35    139.1  0.133    42.4    3.0
FRB 37   318.3  35    233.3  0.194    10.9    3.0
FRB 38   328.0  35    243.0  0.053    38.9    4.0
FRB 40   326.6  35    241.6  0.336    14.6    3.0
FRB 41   749.9  35    664.9  0.279    31.5    2.0
FRB 42   362.7  35    277.7  0.121    18.0    2.0
FRB 43   174.5  35     89.5  0.118    15.6    3.0
FRB 44   474.4  35    389.4  0.252    14.7    2.0
FRB 45   299.5  35    214.5  0.222    10.2    3.0
FRB 46   323.2  35    238.2  0.131    17.1    1.0
FRB 48   314.6  35    229.6  0.013    12.0    3.0
FRB 49   255.1  35    170.1  0.123    59.2    2.0
FRB 51   287.0  35    202.0  0.248    12.7    3.0
FRB 53   736.7  35    651.7  0.272    10.0    3.0
FRB 55   354.1  35    269.1  0.309     9.1    3.0
FRB 56   187.0  35    102.0  0.062    16.4    4.0
FRB 58   277.3  35    192.3  0.007    64.5    5.0
FRB 59   411.7  35    326.7  0.256    78.0    1.0
FRB 60   272.8  35    187.8  0.137    27.3    3.0
FRB 61   654.1  35    569.1  0.564    16.7    3.0
FRB 62   549.1  35    464.1  0.214    10.9    2.0
FRB 63   414.6  35    329.6  0.276    30.7    3.0
FRB 65   387.3  35    302.3  0.230    22.1    2.0
FRB 66   577.7  35    492.7  0.350    21.9    3.0
FRB 67   291.5  35    206.5  0.123    11.5    2.0
FRB 68   290.9  35    205.9  0.280    22.2    2.0
FRB 69   880.2  35    795.2  0.434    16.9    1.0
FRB 70   343.7  35    258.7  0.088    14.6    1.0
FRB 72  1084.6  35    999.6  0.220    11.8    1.0
FRB 73   208.4  35    123.4  0.022    18.0    2.0
FRB 74   424.9  35    339.9  0.308    23.8    2.0
FRB 76   512.3  35    427.3  0.461    10.6    3.0
FRB 78   233.2  35    148.2  0.010    81.3    3.0
FRB 79   628.8  35    543.8  0.567    11.3    3.0
FRB 81   842.3  35    757.3  0.213    41.1    3.0
FRB 82  1157.5  35   1072.5  0.488    35.1    2.0
FRB 83   551.8  35    466.8  0.403    10.2    3.0
FRB 84   211.2  35    126.2  0.099    15.6    4.0
FRB 85   489.1  35    404.1  0.236    16.7    1.0
FRB 86   542.9  35    457.9  0.513    18.3    3.0
FRB 88   259.8  35    174.8  0.080   123.5    1.0
FRB 89   514.6  35    429.6  0.388     9.9    4.0
FRB 90   667.3  35    582.3  0.068    33.6    4.0
FRB 92   376.6  35    291.6  0.236    11.3    1.0
FRB 94   366.6  35    281.6  0.156    25.0    1.0
FRB 95   525.8  35    440.8  0.026    10.5    2.0
FRB 97   480.4  35    395.4  0.118    16.7    3.0
FRB 98   790.0  35    705.0  0.218    20.6    3.0
FRB 99   319.6  35    234.6  0.382    10.0    2.0
FRB 100   365.0  35    280.0  0.349    22.4    2.0
FRB 101   551.1  35    466.1  0.242    24.6    3.0
FRB 102   486.7  35    401.7  0.401    37.1    2.0
FRB 103   391.1  35    306.1  0.095    56.9    3.0
FRB 105  1286.4  35   1201.4  0.073    15.3    1.0
FRB 106   698.3  35    613.3  0.011    10.7    3.0
FRB 108   209.0  35    124.0  0.029    56.4    2.0
FRB 109   452.9  35    367.9  0.095    40.1    1.0
FRB 110   460.6  35    375.6  0.179    11.5    2.0
FRB 111   368.4  35    283.4  0.067    14.4    4.0
FRB 113   986.1  35    901.1  0.556     9.7    2.0
FRB 115   865.5  35    780.5  0.442    10.3    1.0
FRB 116   360.4  35    275.4  0.063    34.5    2.0
FRB 118   337.6  35    252.6  0.296    18.4    4.0
FRB 119   385.1  35    300.1  0.089    45.5    4.0
FRB 120   809.0  35    724.0  0.258     9.4    4.0
FRB 122   321.4  35    236.4  0.214    23.6    3.0
FRB 123  1379.6  35   1294.6  0.065    16.9    4.0
FRB 124   386.0  35    301.0  0.013    18.3    3.0
FRB 125   956.7  35    871.7  0.332    11.3    3.0
FRB 127   418.0  35    333.0  0.349    21.0    2.0
FRB 128   541.0  35    456.0  0.616    26.1    3.0
FRB 129   441.3  35    356.3  0.371    17.2    1.0
FRB 130   737.6  35    652.6  0.463    13.4    2.0
FRB 131   793.8  35    708.8  0.019    16.7    5.0
FRB 133  2391.7  35   2306.7  0.156    34.7    3.0
FRB 134   838.3  35    753.3  0.487    10.1    3.0
FRB 135   463.6  35    378.6  0.142    17.9    0.0
FRB 137   486.0  35    401.0  0.364    16.5    3.0
FRB 138   219.6  35    134.6  0.010    19.1    3.0
FRB 139   567.6  35    482.6  0.210     9.8    3.0
FRB 141   327.1  35    242.1  0.165    15.4    2.0
FRB 142   333.9  35    248.9  0.301    18.3    3.0
FRB 143  1548.8  35   1463.8  0.073     9.1    3.0
FRB 144   582.5  35    497.5  0.287    26.8    3.0
FRB 146   606.5  35    521.5  0.161    17.4    1.0
FRB 147   443.2  35    358.2  0.421    38.3    2.0
FRB 148   533.6  35    448.6  0.358    30.6    2.0
FRB 149   225.3  35    140.3  0.165    43.0    3.0
FRB 150   351.0  35    266.0  0.086    52.1    4.0
FRB 151   672.3  35    587.3  0.532    10.8    1.0
FRB 152   268.7  35    183.7  0.193    47.2    2.0
FRB 154   283.0  35    198.0  0.188    30.9    1.0
