BW    288 #MHz
FRES  1 #MHz
DIAM 12
NBEAMS 36
BEAM lat50_log #prefix of beam file
FBAR 1320
TRES  1.7 #ms
SNRTHRESH 9.5
NFRB 5000
NORM_FRB 5000
TOBS 96.65 # days of 100% efficient operation
THRESH 0.99 #Jy ms to 1 ms burst [ 22 Jy ms / 24 antennas *sqrt{336/288} bandwidth factor]
KEY ID 	DM    	DMG     DMEG	Z	SNR	WIDTH
# fake data from MC simulations
FRB 0   683.7  35    598.7  0.409    39.5    3.0 
FRB 1  1301.8  35   1216.8  0.062    63.0    0.0 
FRB 2  1004.0  35    919.0  0.578    11.1    3.0 
FRB 3   402.7  35    317.7  0.288    30.2    1.0 
FRB 4   459.2  35    374.2  0.413    27.9    2.0 
FRB 5   813.4  35    728.4  0.837    14.6    2.0 
FRB 6   592.5  35    507.5  0.354    56.4    3.0 
FRB 7   493.1  35    408.1  0.596    20.6    2.0 
FRB 8   351.0  35    266.0  0.241    10.4    4.0 
FRB 9   479.0  35    394.0  0.386     9.9    2.0 
FRB 10   680.6  35    595.6  0.819    10.8    2.0 
FRB 11   274.5  35    189.5  0.203   133.6    2.0 
FRB 12   206.5  35    121.5  0.002    12.7    4.0 
FRB 13   254.8  35    169.8  0.260    21.7    2.0 
FRB 14   339.7  35    254.7  0.292    19.1    1.0 
FRB 15   426.2  35    341.2  0.105    50.6    3.0 
FRB 16   401.7  35    316.7  0.178    68.9    3.0 
FRB 17   604.6  35    519.6  0.748    16.2    2.0 
FRB 18   466.8  35    381.8  0.457    24.3    3.0 
FRB 19   358.7  35    273.7  0.396    12.5    4.0 
FRB 20   275.0  35    190.0  0.189    11.3    2.0 
FRB 21   872.1  35    787.1  0.008    10.9    2.0 
FRB 22   557.6  35    472.6  0.008    27.6    1.0 
FRB 23   755.1  35    670.1  1.014    32.9    0.0 
FRB 24   339.5  35    254.5  0.065    13.2    2.0 
FRB 25   756.0  35    671.0  0.955    24.2    3.0 
FRB 26   316.0  35    231.0  0.223     9.6    3.0 
FRB 27  1724.7  35   1639.7  0.009    15.6    1.0 
FRB 28   207.4  35    122.4  0.046   146.0    3.0 
FRB 29   366.5  35    281.5  0.368    17.8    2.0 
FRB 30   265.1  35    180.1  0.004    91.8    3.0 
FRB 31   550.8  35    465.8  0.291    10.8    4.0 
FRB 32   463.4  35    378.4  0.004    17.2    0.0 
FRB 33   704.1  35    619.1  0.656    25.7    2.0 
FRB 34   287.7  35    202.7  0.098    13.3    3.0 
FRB 35   286.6  35    201.6  0.040    13.9    4.0 
FRB 36   282.4  35    197.4  0.077    52.1    3.0 
FRB 37   341.5  35    256.5  0.308    22.5    2.0 
FRB 38   951.4  35    866.4  0.996    27.0    1.0 
FRB 39   322.7  35    237.7  0.252    10.8    2.0 
FRB 40   287.3  35    202.3  0.307    18.8    1.0 
FRB 41   546.0  35    461.0  0.769    11.9    4.0 
FRB 42   633.4  35    548.4  0.664    19.4    1.0 
FRB 43   933.7  35    848.7  0.614    11.7    2.0 
FRB 44   796.3  35    711.3  0.967    22.8    3.0 
FRB 45   884.0  35    799.0  0.129    19.6    3.0 
FRB 46   102.3  35     17.3  0.008    39.7    4.0 
FRB 47   907.5  35    822.5  0.132     9.6    0.0 
FRB 48   269.2  35    184.2  0.235    17.8    3.0 
FRB 49   403.9  35    318.9  0.428    12.7    4.0 
FRB 50   572.1  35    487.1  0.609    29.2    1.0 
FRB 51   236.9  35    151.9  0.150    14.2    3.0 
FRB 52  1840.3  35   1755.3  1.632    16.2    2.0 
FRB 53   410.1  35    325.1  0.414    15.6    1.0 
FRB 54   567.5  35    482.5  0.375    12.3    2.0 
FRB 55   504.1  35    419.1  0.280    35.2    3.0 
FRB 56  1230.6  35   1145.6  1.636    12.8    2.0 
FRB 57   179.2  35     94.2  0.047    17.9    2.0 
FRB 58   650.9  35    565.9  0.121    12.1    3.0 
FRB 59   835.3  35    750.3  0.708    19.2    1.0 
FRB 60   989.7  35    904.7  1.307    15.5    1.0 
FRB 61   431.8  35    346.8  0.465    10.3    2.0 
FRB 62   325.9  35    240.9  0.234    27.2    4.0 
FRB 63   999.2  35    914.2  0.847    11.5    2.0 
FRB 64  1063.0  35    978.0  0.993    26.6    3.0 
FRB 65   387.3  35    302.3  0.334    12.0    3.0 
FRB 66   495.6  35    410.6  0.413    40.9    3.0 
FRB 67   385.4  35    300.4  0.362    18.5    2.0 
FRB 68   610.1  35    525.1  0.522    10.0    3.0 
FRB 69   410.8  35    325.8  0.066    15.4    3.0 
FRB 70   508.6  35    423.6  0.465    23.6    0.0 
FRB 71   159.1  35     74.1  0.003    80.4    2.0 
FRB 72  1700.0  35   1615.0  0.026   158.3    3.0 
FRB 73  1118.8  35   1033.8  1.300    25.5    3.0 
FRB 74   309.2  35    224.2  0.039    10.9    3.0 
FRB 75   150.8  35     65.8  0.049   130.0    1.0 
FRB 76   915.5  35    830.5  0.999    13.0    3.0 
FRB 77   654.1  35    569.1  0.379    30.5    2.0 
FRB 78   395.9  35    310.9  0.213    21.1    4.0 
FRB 79   217.3  35    132.3  0.068    23.6    0.0 
FRB 80   415.3  35    330.3  0.396   209.7    1.0 
FRB 81   155.8  35     70.8  0.074    16.5    3.0 
FRB 82  1618.5  35   1533.5  1.805    16.3    1.0 
FRB 83   134.0  35     49.0  0.003    12.3    3.0 
FRB 84   338.3  35    253.3  0.156    10.4    4.0 
FRB 85   686.9  35    601.9  0.621    84.4    3.0 
FRB 86   469.3  35    384.3  0.233    21.5    1.0 
FRB 87   718.4  35    633.4  0.670    18.9    4.0 
FRB 88   998.7  35    913.7  0.950    15.0    3.0 
FRB 89   277.7  35    192.7  0.043    15.4    3.0 
FRB 90   955.8  35    870.8  0.191    29.2    1.0 
FRB 91   540.5  35    455.5  0.027   295.3    4.0 
FRB 92   749.0  35    664.0  0.555    16.6    3.0 
FRB 93   458.5  35    373.5  0.447    49.6    0.0 
FRB 94   177.8  35     92.8  0.040    11.7    3.0 
FRB 95   800.1  35    715.1  1.124    12.2    2.0 
FRB 96   211.8  35    126.8  0.073    22.8    0.0 
FRB 97   522.4  35    437.4  0.268     9.8    2.0 
FRB 98   373.5  35    288.5  0.391    10.1    2.0 
FRB 99   556.4  35    471.4  0.248    20.4    3.0 
FRB 100   895.8  35    810.8  0.613    17.0    0.0 
FRB 101   264.5  35    179.5  0.239    55.9    4.0 
FRB 102   906.2  35    821.2  0.595    16.6    4.0 
FRB 103   650.8  35    565.8  0.550    14.8    2.0 
FRB 104   612.9  35    527.9  0.101    20.2    3.0 
FRB 105   696.2  35    611.2  0.580    12.5    5.0 
FRB 106   285.0  35    200.0  0.027    12.3    2.0 
FRB 107   701.7  35    616.7  0.553    21.8    1.0 
FRB 108   404.8  35    319.8  0.139    21.7    1.0 
FRB 109   902.0  35    817.0  0.848    10.2    1.0 
FRB 110   264.1  35    179.1  0.129    40.9    2.0 
FRB 111   633.7  35    548.7  0.640    19.8    3.0 
FRB 112   241.9  35    156.9  0.210    12.8    0.0 
FRB 113   388.9  35    303.9  0.330    18.8    3.0 
FRB 114   844.0  35    759.0  1.152    37.4    2.0 
FRB 115  1345.1  35   1260.1  1.353    11.5    3.0 
FRB 116   608.3  35    523.3  0.720    29.3    1.0 
FRB 117   320.5  35    235.5  0.341    12.8    4.0 
FRB 118   969.2  35    884.2  0.202   150.4    4.0 
FRB 119   315.2  35    230.2  0.123   100.8    2.0 
FRB 120   954.7  35    869.7  1.004    10.8    3.0 
FRB 121   427.0  35    342.0  0.234   100.1    3.0 
FRB 122   388.9  35    303.9  0.377    14.7    3.0 
FRB 123   282.3  35    197.3  0.293    21.4    2.0 
FRB 124   373.2  35    288.2  0.226    11.1    1.0 
FRB 125   457.6  35    372.6  0.179   141.9    1.0 
FRB 126   949.3  35    864.3  0.933    12.6    1.0 
FRB 127   633.4  35    548.4  0.502    12.9    2.0 
FRB 128   416.3  35    331.3  0.439    13.5    1.0 
FRB 129   868.7  35    783.7  0.373    49.5    3.0 
FRB 130   626.9  35    541.9  0.446    13.8    2.0 
FRB 131   815.2  35    730.2  0.985     9.6    2.0 
FRB 132   465.4  35    380.4  0.366    12.0    2.0 
FRB 133   795.6  35    710.6  0.499    62.0    2.0 
FRB 134   250.8  35    165.8  0.020   171.7    3.0 
FRB 135  2494.2  35   2409.2  0.639     9.7    2.0 
FRB 136   518.6  35    433.6  0.316    18.2    5.0 
FRB 137   353.6  35    268.6  0.439    34.3    1.0 
FRB 138   428.1  35    343.1  0.373    10.3    1.0 
FRB 139   382.3  35    297.3  0.121    20.3    3.0 
FRB 140   157.6  35     72.6  0.102   105.3    1.0 
FRB 141  1214.8  35   1129.8  0.011    11.8    3.0 
FRB 142   337.9  35    252.9  0.301    17.4    1.0 
FRB 143   262.5  35    177.5  0.139    26.4    2.0 
FRB 144   356.3  35    271.3  0.101    37.5    3.0 
FRB 145   543.8  35    458.8  0.434    12.7    3.0 
FRB 146  1139.1  35   1054.1  0.270    24.9    3.0 
FRB 147   410.7  35    325.7  0.157    45.4    5.0 
FRB 148   297.0  35    212.0  0.226     9.6    1.0 
FRB 149   674.1  35    589.1  0.214    24.8    2.0 
FRB 150  1269.7  35   1184.7  0.918    13.9    3.0 
FRB 151   733.9  35    648.9  0.784    13.3    4.0 
FRB 152  1570.7  35   1485.7  0.059    18.2    1.0 
FRB 153   403.7  35    318.7  0.163    15.3    3.0 
FRB 154   504.0  35    419.0  0.348    11.3    2.0 
FRB 155   426.8  35    341.8  0.312    10.7    2.0 
FRB 156   535.7  35    450.7  0.473    23.4    1.0 
FRB 157   239.3  35    154.3  0.011   170.4    3.0 
FRB 158   505.2  35    420.2  0.393    80.5    1.0 
FRB 159   480.6  35    395.6  0.327    18.1    2.0 
FRB 160   661.7  35    576.7  0.544    18.0    4.0 
FRB 161  1064.2  35    979.2  1.483     9.7    2.0 
FRB 162   400.8  35    315.8  0.090    10.5    3.0 
FRB 163   807.9  35    722.9  0.965     9.9    3.0 
FRB 164   790.9  35    705.9  0.840     9.8    4.0 
FRB 165   997.4  35    912.4  0.384    20.0    1.0 
FRB 166  1004.0  35    919.0  1.166    24.9    1.0 
FRB 167   262.4  35    177.4  0.198    15.3    0.0 
FRB 168   178.1  35     93.1  0.085    21.2    3.0 
FRB 169   597.2  35    512.2  0.491    14.8    3.0 
FRB 170   876.6  35    791.6  0.317    37.7    1.0 
FRB 171   304.6  35    219.6  0.294    50.6    0.0 
FRB 172   257.6  35    172.6  0.176    60.5    2.0 
FRB 173   677.8  35    592.8  0.111    17.0    0.0 
FRB 174  1027.0  35    942.0  0.148    13.9    2.0 
FRB 175   311.0  35    226.0  0.338    15.8    3.0 
FRB 176   633.1  35    548.1  0.407    10.1    3.0 
FRB 177   840.1  35    755.1  0.835    20.9    4.0 
FRB 178   951.2  35    866.2  0.688    12.0    4.0 
FRB 179   261.0  35    176.0  0.052    13.2    0.0 
FRB 180   212.3  35    127.3  0.068    10.2    0.0 
FRB 181   318.0  35    233.0  0.016     9.9    3.0 
FRB 182   684.8  35    599.8  0.461    12.9    1.0 
