#l	b	DM	e_l	e_u	DMmax	e_sys
303.48	-6.42	60.71335927	6.323289758	6.323289758	67.03664903	0
65.012566	-27.312534	21.06990656	13.62617347	31.92870468	52.99861124	0
2.79	-7.91	30.76523995	5.325517906	5.325517906	36.09075785	0
31.36	-8.46	55.43450065	26.84390649	26.84390649	82.27840714	0
71.33496	3.066917	74.07554461	29.52693776	5.573509467	79.64905408	0
344.98	2.46	70.16861219	7.552359592	7.552359592	77.72097178	0
349.1	2.75	65.70687419	6.490736836	6.490736836	72.19761103	0
163.0813512	-17.1361916	161.200667	136.2165555	21.0530916	182.2537586	0
238.9399	-25.18319	58.18047063	27.3616051	42.91463961	101.0951102	0
263.552021	-2.787006	33.70920353	16.3640167	39.89991622	73.60911975	0
36.12	4.84	49.44228275	6.675634402	6.675634402	56.11791715	0
29.906509	-6.82095	76.11378842	7.600340696	12.32275936	88.43654778	0
359.82	-8	35.46044099	3.79875957	3.79875957	39.25920056	0
336.71827	-3.427067	219.3527154	33.718848	481.7034174	701.0561328	0						
191.81	-33.16	26.12840467	32.82359997	32.82359997	58.95200464	0
305.1	57.06	57.12710765	55.27863951	55.27863951	112.4057472	0
142.04	-30.54	40.96627756	27.10866083	27.10866083	68.07493839	0
295.07	-57.83	27.50324254	19.32747055	19.32747055	46.83071309	0
123.75	-50.17	15.29182879	32.32387732	32.32387732	47.61570611	0
179.69	-60.48	70.55771725	59.66688645	59.66688645	130.2246037	0
165.01	44.36	20.86251621	26.33620124	26.33620124	47.19871745	0
138.99	-85.07	23.15823606	23.60830433	23.60830433	46.76654039	0
259.333385	36.515092	495.8442571	178.6431713	1294.302662	1790.146919	0
108.763379	-41.424345	82.00322931	43.45346332	101.0538783	183.0571076	0
180.27826	59.064689	21.82429392	16.09211672	42.43087286	64.25516678	0
168.602525	28.382111	1459.077795	1335.438267	7942.920246	9401.998041	0
300.040932	65.213621	242.1715768	177.1725608	366.4711507	608.6427275	0
266.986787	-41.996326	29.76521348	21.47382901	137.6887735	167.4539869	0
310.189353	23.97919	876.7436936	775.0381771	13023.5473	13900.29099	0
125.446371	41.672225	129.0002382	107.0158396	62.83680226	191.8370405	0
213.824209	39.724125	682.2176341	638.0870358	83.34067128	765.5583054	0
40.26	-34.93	134.6687844	112.9841532	60.80037169	195.4691561	0
148.883108	70.085164	31.87094828	8.937645834	8.937645834	40.80859411	0
133.235657	42.40273	36.09054109	10.73427407	10.73427407	46.82481515	0
321.76	-6.34	69.26343154	6.591506369	148.4505875	465.4595991	32.76537706
332.91	-4.82	92.6345474	10.08145439	14.77609913	161.5473239	35.21561095
346.05	-6.99	94.22300754	7.871469575	11.64741242	154.3436121	35.10497901
35.72	-4.14	74.84695877	4.831488441	9.289242353	126.2356623	29.65889133
