BW    288 #MHz
FRES  1 #MHz
NFRB 1 #Number of FRBs
DIAM 12
NBEAMS 36
BEAM lat50_log #prefix of beam file
FBAR 1320
TRES  1.7 #ms
SNRTHRESH 9.5
NFRB 1000
NORM_FRB 1000
TOBS 966.5 # days of 100% efficient operation
THRESH 0.99 #Jy ms to 1 ms burst [ 22 Jy ms / 24 antennas *sqrt{336/288} bandwidth factor]
KEY ID 	DM    	DMG     DMEG	Z	SNR	WIDTH
# fake data from MC simulations
FRB 0   395.7  35    310.7  0.281    14.5    3.0
FRB 1   973.7  35    888.7  0.357    14.5    2.0
FRB 2   892.0  35    807.0  1.224    14.2    2.0
FRB 3   694.8  35    609.8  0.989    13.5    3.0
FRB 4   247.0  35    162.0  0.170    69.7    3.0
FRB 5   343.0  35    258.0  0.085    10.0    3.0
FRB 6   633.5  35    548.5  0.766    13.6    1.0
FRB 7   568.4  35    483.4  0.455    20.9    2.0
FRB 8   328.4  35    243.4  0.318    38.8    1.0
FRB 9   307.1  35    222.1  0.268    22.1    2.0
FRB 10   584.0  35    499.0  0.712     9.6    0.0
FRB 11   269.7  35    184.7  0.234    32.7    2.0
FRB 12   693.4  35    608.4  0.379    29.0    2.0
FRB 13   950.4  35    865.4  1.106    10.2    3.0
FRB 14   652.8  35    567.8  0.746    12.6    3.0
FRB 15   350.4  35    265.4  0.196    20.0    3.0
FRB 16   535.5  35    450.5  0.748    10.8    3.0
FRB 17   458.8  35    373.8  0.609    30.6    1.0
FRB 18   649.2  35    564.2  0.706     9.7    2.0
FRB 19   569.8  35    484.8  0.414    11.2    1.0
FRB 20   538.1  35    453.1  0.269    26.9    2.0
FRB 21   302.3  35    217.3  0.282   121.2    2.0
FRB 22  1574.7  35   1489.7  -1.000     9.6    3.0
FRB 23   193.9  35    108.9  0.052    22.0    3.0
FRB 24   325.2  35    240.2  0.232    14.5    2.0
FRB 25  1314.1  35   1229.1  -1.000    10.9    1.0
FRB 26   871.0  35    786.0  0.548    15.8    1.0
FRB 27   338.7  35    253.7  0.104    35.1    1.0
FRB 28   570.0  35    485.0  0.858    15.9    3.0
FRB 29   641.7  35    556.7  0.468    22.1    4.0
FRB 30   418.6  35    333.6  0.472    66.1    3.0
FRB 31   494.8  35    409.8  0.559    13.0    0.0
FRB 32   536.3  35    451.3  0.485    13.8    5.0
FRB 33   363.7  35    278.7  0.392    13.4    4.0
FRB 34   891.3  35    806.3  1.259    14.5    2.0
FRB 35   313.0  35    228.0  0.241    10.2    2.0
FRB 36   780.0  35    695.0  1.004    12.5    1.0
FRB 37  1003.8  35    918.8  1.076    18.1    1.0
FRB 38  1203.4  35   1118.4  -1.000    11.1    1.0
FRB 39   307.4  35    222.4  0.300    38.3    0.0
FRB 40   616.6  35    531.6  0.019    20.1    1.0
FRB 41   354.3  35    269.3  0.035    92.9    4.0
FRB 42   321.0  35    236.0  0.144    15.4    4.0
FRB 43   292.4  35    207.4  0.350    10.5    0.0
FRB 44   409.3  35    324.3  0.451     9.8    3.0
FRB 45   681.3  35    596.3  0.662     9.6    3.0
FRB 46   302.9  35    217.9  0.048    38.8    2.0
FRB 47   585.0  35    500.0  0.112    15.7    2.0
FRB 48   300.0  35    215.0  0.250    16.0    2.0
FRB 49  1020.8  35    935.8  0.620    17.7    3.0
FRB 50  1376.5  35   1291.5  -1.000    10.0    2.0
FRB 51   158.9  35     73.9  0.060    13.5    3.0
FRB 52   265.5  35    180.5  0.295    10.1    2.0
FRB 53   378.9  35    293.9  0.001    26.0    3.0
FRB 54   940.6  35    855.6  0.913    13.2    4.0
FRB 55   284.6  35    199.6  0.135    26.3    5.0
FRB 56   213.8  35    128.8  0.120    36.8    1.0
FRB 57   531.1  35    446.1  0.269    10.4    2.0
FRB 58   494.0  35    409.0  0.066    11.9    3.0
FRB 59   207.1  35    122.1  0.196    51.5    1.0
FRB 60   154.7  35     69.7  0.076    19.4    4.0
FRB 61   328.6  35    243.6  0.087    20.5    0.0
FRB 62   258.3  35    173.3  0.141    14.5    3.0
FRB 63   567.5  35    482.5  0.089    25.8    2.0
FRB 64   805.1  35    720.1  0.425    10.2    2.0
FRB 65   484.5  35    399.5  0.574    10.8    1.0
FRB 66   501.8  35    416.8  0.303    13.6    4.0
FRB 67   383.2  35    298.2  0.268    11.2    2.0
FRB 68   279.1  35    194.1  0.246    16.7    1.0
FRB 69   542.7  35    457.7  0.621    10.7    1.0
FRB 70   730.5  35    645.5  0.197    20.6    1.0
FRB 71   415.3  35    330.3  0.126    11.6    1.0
FRB 72   949.2  35    864.2  0.499    10.9    2.0
FRB 73   508.0  35    423.0  0.051    30.3    0.0
FRB 74  1352.1  35   1267.1  -1.000     9.7    3.0
FRB 75   306.7  35    221.7  0.252    14.7    5.0
FRB 76   471.6  35    386.6  0.327    22.9    5.0
FRB 77   362.2  35    277.2  0.001    12.9    4.0
FRB 78   786.8  35    701.8  0.021    94.3    4.0
FRB 79   209.8  35    124.8  0.030    13.4    3.0
FRB 80   497.4  35    412.4  0.373    24.1    3.0
FRB 81   675.9  35    590.9  0.472    12.1    4.0
FRB 82   210.4  35    125.4  0.238    10.2    3.0
FRB 83   627.0  35    542.0  0.839    10.3    3.0
FRB 84   408.9  35    323.9  0.437    18.9    4.0
FRB 85   659.6  35    574.6  0.995    10.7    2.0
FRB 86  1184.5  35   1099.5  -1.000    12.8    1.0
FRB 87   654.9  35    569.9  0.682    10.2    4.0
FRB 88   591.8  35    506.8  0.516    13.6    3.0
FRB 89   971.0  35    886.0  0.466    34.7    2.0
FRB 90   453.0  35    368.0  0.508    11.8    3.0
FRB 91   607.3  35    522.3  0.428    50.9    0.0
FRB 92   305.9  35    220.9  0.100    24.9    3.0
FRB 93   248.7  35    163.7  0.233    23.6    3.0
FRB 94   777.2  35    692.2  0.927    22.1    3.0
FRB 95   221.5  35    136.5  0.230    19.9    3.0
FRB 96   201.2  35    116.2  0.107    14.8    2.0
FRB 97  1194.8  35   1109.8  -1.000    12.2    1.0
FRB 98   328.6  35    243.6  0.234    35.5    2.0
FRB 99   906.0  35    821.0  0.950     9.9    3.0
FRB 100   382.3  35    297.3  0.261    35.0    3.0
FRB 101   590.4  35    505.4  0.345    12.6    4.0
FRB 102   404.1  35    319.1  0.187    16.0    2.0
FRB 103   646.9  35    561.9  0.744    15.8    1.0
FRB 104   782.1  35    697.1  0.608    11.4    4.0
FRB 105   265.2  35    180.2  0.174     9.9    3.0
FRB 106   598.1  35    513.1  0.630    27.6    2.0
FRB 107   575.8  35    490.8  0.645    47.1    1.0
FRB 108   803.6  35    718.6  0.897    26.0    2.0
FRB 109  1394.1  35   1309.1  -1.000    13.9    0.0
FRB 110   285.3  35    200.3  0.030    66.9    2.0
FRB 111   626.5  35    541.5  0.539    10.5    4.0
FRB 112   368.6  35    283.6  0.402    22.9    4.0
FRB 113   300.8  35    215.8  0.029    12.5    2.0
FRB 114   210.9  35    125.9  0.174   293.0    1.0
FRB 115  1257.8  35   1172.8  -1.000    15.9    2.0
FRB 116  1752.9  35   1667.9  -1.000    16.0    2.0
FRB 117   163.2  35     78.2  0.010     9.8    2.0
FRB 118   801.4  35    716.4  0.580    15.6    2.0
FRB 119   721.8  35    636.8  0.908    13.2    3.0
FRB 120   633.6  35    548.6  0.070    12.5    2.0
FRB 121  1037.6  35    952.6  1.439    16.4    1.0
FRB 122   402.8  35    317.8  0.522    17.5    2.0
FRB 123   772.9  35    687.9  0.018    11.6    3.0
FRB 124   357.8  35    272.8  0.432    16.9    0.0
FRB 125   601.4  35    516.4  0.165    14.2    3.0
FRB 126   219.5  35    134.5  0.187    10.0    1.0
FRB 127   679.0  35    594.0  0.130    11.5    5.0
FRB 128  1308.5  35   1223.5  -1.000    15.2    2.0
FRB 129   323.5  35    238.5  0.058    13.9    6.0
FRB 130   646.2  35    561.2  0.339    19.1    4.0
FRB 131   580.4  35    495.4  0.490    27.0    4.0
FRB 132   738.4  35    653.4  1.049    21.7    1.0
FRB 133   386.5  35    301.5  0.412    48.8    1.0
FRB 134   609.9  35    524.9  0.503    15.2    4.0
FRB 135   740.4  35    655.4  1.073     9.6    3.0
FRB 136   753.3  35    668.3  0.700    12.1    3.0
FRB 137   671.7  35    586.7  0.060    20.9    2.0
FRB 138   594.8  35    509.8  0.397    88.9    3.0
FRB 139   446.5  35    361.5  0.493    35.8    2.0
FRB 140   541.8  35    456.8  0.294    28.4    4.0
FRB 141   323.9  35    238.9  0.234    29.0    3.0
FRB 142   653.1  35    568.1  0.031    73.4    1.0
FRB 143  1942.9  35   1857.9  -1.000    12.3    3.0
FRB 144   300.8  35    215.8  0.099    16.5    1.0
FRB 145   327.4  35    242.4  0.184    21.5    3.0
FRB 146   362.8  35    277.8  0.393    12.4    1.0
FRB 147   386.1  35    301.1  0.415    17.9    3.0
