BW    288 #MHz
FRES  1 #MHz
NFRB 1 #Number of FRBs
DIAM 12
NBEAMS 36
BEAM lat50_log #prefix of beam file
FBAR 1320
TRES  1.7 #ms
SNRTHRESH 9.5
NFRB 1000
NORM_FRB 1000
TOBS 966.5 # days of 100% efficient operation
THRESH 0.99 #Jy ms to 1 ms burst [ 22 Jy ms / 24 antennas *sqrt{336/288} bandwidth factor]
KEY ID 	DM    	DMG     DMEG	Z	SNR	WIDTH
# fake data from MC simulations
FRB 0   472.4  35    387.4  0.371    21.7    5.0
FRB 1   472.5  35    387.5  0.302    16.3    2.0
FRB 2   714.5  35    629.5  0.512    21.3    2.0
FRB 3   727.3  35    642.3  0.359    28.8    2.0
FRB 4   805.4  35    720.4  0.390    42.0    1.0
FRB 5   344.0  35    259.0  0.210    30.3    3.0
FRB 6   630.7  35    545.7  0.412    15.0    1.0
FRB 7   708.7  35    623.7  0.940    68.8    2.0
FRB 8   488.4  35    403.4  0.425    11.2    3.0
FRB 9  1082.5  35    997.5  1.119    23.5    3.0
FRB 10   533.2  35    448.2  0.523    13.5    2.0
FRB 11   667.8  35    582.8  0.317    71.7    2.0
FRB 12   501.2  35    416.2  0.588     9.7    2.0
FRB 13   550.3  35    465.3  0.700    41.7    3.0
FRB 14   437.8  35    352.8  0.484    16.3    3.0
FRB 15   439.5  35    354.5  0.492    15.5    3.0
FRB 16  1309.4  35   1224.4  1.708    14.1    2.0
FRB 17   472.9  35    387.9  0.064   182.7    4.0
FRB 18   366.1  35    281.1  0.445    12.2    3.0
FRB 19   179.6  35     94.6  0.129    41.7    3.0
FRB 20  1177.6  35   1092.6  0.124    30.4    3.0
FRB 21   264.6  35    179.6  0.218    10.1    1.0
FRB 22   616.7  35    531.7  0.732    23.2    1.0
FRB 23   237.1  35    152.1  0.166    21.3    1.0
FRB 24   754.4  35    669.4  0.624    25.8    2.0
FRB 25   969.4  35    884.4  1.243    11.2    2.0
FRB 26   558.2  35    473.2  0.407    10.1    3.0
FRB 27   494.2  35    409.2  0.145    17.1    4.0
FRB 28   358.8  35    273.8  0.355    18.1    3.0
FRB 29   254.3  35    169.3  0.040    12.8    3.0
FRB 30   218.0  35    133.0  0.162    11.9    3.0
FRB 31   500.4  35    415.4  0.319     9.5    2.0
FRB 32   185.3  35    100.3  0.105    84.6    4.0
FRB 33  1429.2  35   1344.2  1.567    14.3    2.0
FRB 34   386.4  35    301.4  0.176    13.8    3.0
