BW    288 #MHz
FRES  1 #MHz
DIAM 12
NBEAMS 36
BEAM lat50_log #prefix of beam file
FBAR 1320
TRES  1.7 #ms
SNRTHRESH 9.5
NFRB 50
NORM_FRB 50
TOBS 48.325 # days of 100% efficient operation
THRESH 0.99 #Jy ms to 1 ms burst [ 22 Jy ms / 24 antennas *sqrt{336/288} bandwidth factor]
KEY ID 	DM    	DMG     DMEG	Z	SNR	WIDTH
# fake data from MC simulations
FRB 0   822.2  35    737.2  0.548    13.3    3.0
FRB 1   785.9  35    700.9  0.892    13.6    1.0
FRB 2   735.1  35    650.1  0.835    15.7    3.0
FRB 3   661.5  35    576.5  0.699    17.2    3.0
FRB 4   468.7  35    383.7  0.490    19.7    3.0
FRB 5   690.5  35    605.5  0.303    16.1    0.0
FRB 6   380.8  35    295.8  0.299    10.4    2.0
FRB 7   742.8  35    657.8  0.590    10.9    2.0
FRB 8   618.1  35    533.1  0.651    39.2    1.0
FRB 9   403.7  35    318.7  0.256    10.7    2.0
FRB 10   513.1  35    428.1  0.548    17.5    5.0
FRB 11   585.2  35    500.2  0.807     9.5    3.0
FRB 12   396.4  35    311.4  0.276    21.9    4.0
FRB 13  1160.2  35   1075.2  1.127    12.4    2.0
FRB 14   817.1  35    732.1  0.533    11.9    3.0
FRB 15   689.5  35    604.5  0.666    57.7    1.0
FRB 16   127.8  35     42.8  0.002    11.0    4.0
FRB 17   639.0  35    554.0  0.582    13.7    2.0
FRB 18  1110.6  35   1025.6  1.154    12.5    2.0
FRB 19   517.6  35    432.6  0.392    40.1    4.0
FRB 20   173.6  35     88.6  0.009    20.2    0.0
FRB 21   739.3  35    654.3  0.550    16.9    3.0
FRB 22   366.6  35    281.6  0.349    15.6    2.0
FRB 23  1319.4  35   1234.4  0.900    10.4    3.0
FRB 24   514.1  35    429.1  0.649    11.7    3.0
FRB 25  1122.0  35   1037.0  0.580    13.3    2.0
FRB 26   495.7  35    410.7  0.345     9.5    4.0
FRB 27   726.6  35    641.6  0.682    12.4    3.0
FRB 28   514.8  35    429.8  0.540    40.0    2.0
FRB 29   647.0  35    562.0  0.391    18.6    1.0
FRB 30   401.2  35    316.2  0.378    11.4    1.0
FRB 31   326.5  35    241.5  0.291    14.4    2.0
FRB 32   804.9  35    719.9  0.165    16.6    4.0
FRB 33   345.6  35    260.6  0.415    15.3    1.0
FRB 34   336.9  35    251.9  0.245    39.9    1.0
FRB 35   150.1  35     65.1  0.015   251.6    3.0
FRB 36   277.1  35    192.1  0.052    16.1    2.0
FRB 37  1455.1  35   1370.1  0.763    11.0    2.0
FRB 38   105.2  35     20.2  0.021     9.7    4.0
FRB 39   168.1  35     83.1  0.020    28.0    1.0
FRB 40   159.8  35     74.8  0.040     9.6    5.0
FRB 41   348.2  35    263.2  0.219    10.8    2.0
FRB 42   349.9  35    264.9  0.336    10.5    3.0
FRB 43   853.1  35    768.1  0.883    11.9    2.0
FRB 44   818.7  35    733.7  0.881    11.8    1.0
FRB 45   678.4  35    593.4  0.713    10.9    1.0
FRB 46   859.4  35    774.4  0.721    18.9    0.0
FRB 47   886.8  35    801.8  0.767    26.7    3.0
FRB 48   673.6  35    588.6  0.240    15.2    3.0
FRB 49   339.0  35    254.0  0.327    23.6    4.0
