BW    288 #MHz
FRES  1 #MHz
NFRB 1 #Number of FRBs
DIAM 12
NBEAMS 36
BEAM lat50_log #prefix of beam file
FBAR 1320
TRES  1.7 #ms
SNRTHRESH 9.5
NFRB 50
NORM_FRB 50
TOBS 48.325 # days of 100% efficient operation
THRESH 0.99 #Jy ms to 1 ms burst [ 22 Jy ms / 24 antennas *sqrt{336/288} bandwidth factor]
KEY ID 	DM    	DMG     DMEG	Z	SNR	WIDTH
# fake data from MC simulations
FRB 0   401.4  35    316.4  0.276    27.9    4.0
FRB 1   398.6  35    313.6  0.376    15.3    3.0
FRB 2   554.9  35    469.9  0.284    21.8    4.0
FRB 3   392.5  35    307.5  0.411    17.5    2.0
FRB 4   161.4  35     76.4  0.096    14.1    2.0
FRB 5   895.0  35    810.0  0.577    45.9    2.0
FRB 6   517.0  35    432.0  0.688    13.4    3.0
FRB 7   183.9  35     98.9  0.111    13.7    3.0
FRB 8   886.9  35    801.9  1.090    10.0    0.0
FRB 9   720.0  35    635.0  1.113     9.9    3.0
FRB 10   628.6  35    543.6  0.422    39.1    2.0
FRB 11  1044.3  35    959.3  0.729    19.5    1.0
FRB 12   330.2  35    245.2  0.061    69.0    2.0
FRB 13   916.8  35    831.8  0.855    12.8    2.0
FRB 14   439.7  35    354.7  0.023    41.5    1.0
FRB 15  1018.7  35    933.7  0.962    14.0    3.0
FRB 16  1274.5  35   1189.5  1.155    14.4    2.0
FRB 17  1737.7  35   1652.7  0.898    20.1    2.0
FRB 18   230.3  35    145.3  0.153    10.9    2.0
FRB 19   891.7  35    806.7  0.635    14.2    1.0
FRB 20   404.7  35    319.7  0.363    28.3    3.0
FRB 21   688.4  35    603.4  0.591    11.6    2.0
FRB 22   507.9  35    422.9  0.692    19.8    3.0
FRB 23   337.0  35    252.0  0.105    11.4    2.0
FRB 24   303.7  35    218.7  0.078    10.3    4.0
FRB 25   350.2  35    265.2  0.048    14.7    2.0
FRB 26   278.8  35    193.8  0.026    28.8    4.0
FRB 27  1373.5  35   1288.5  1.251    10.1    0.0
FRB 28   882.8  35    797.8  0.672    11.7    2.0
FRB 29   172.2  35     87.2  0.080    11.9    3.0
FRB 30   376.7  35    291.7  0.171    30.6    3.0
FRB 31  1244.8  35   1159.8  0.377    16.7    4.0
FRB 32   540.4  35    455.4  0.669    19.0    3.0
FRB 33   508.9  35    423.9  0.396    29.7    0.0
FRB 34  1448.5  35   1363.5  1.440    12.0    2.0
FRB 35   600.4  35    515.4  0.372    11.0    1.0
FRB 36  1047.7  35    962.7  1.084    13.6    2.0
FRB 37   671.9  35    586.9  0.315    19.0    3.0
FRB 38   300.2  35    215.2  0.403    14.6    3.0
FRB 39   713.7  35    628.7  0.830    12.0    3.0
FRB 40   631.5  35    546.5  0.494    17.9    2.0
FRB 41   258.2  35    173.2  0.262    10.8    4.0
FRB 42  1420.6  35   1335.6  1.469     9.6    3.0
FRB 43   552.3  35    467.3  0.373    14.1    5.0
FRB 44   962.1  35    877.1  0.890    15.8    3.0
FRB 45   270.9  35    185.9  0.206    23.6    0.0
FRB 46  1214.8  35   1129.8  1.193    15.3    3.0
FRB 47   348.4  35    263.4  0.364    11.6    3.0
FRB 48   622.0  35    537.0  0.136    20.8    3.0
FRB 49   447.9  35    362.9  0.397    18.9    2.0
