BW    288 #MHz
FRES  1 #MHz
NFRB 1 #Number of FRBs
DIAM 12
NBEAMS 36
BEAM lat50_log #prefix of beam file
FBAR 1320
TRES  1.7 #ms
SNRTHRESH 9.5
NFRB 50
NORM_FRB 50
TOBS 48.325 # days of 100% efficient operation
THRESH 0.99 #Jy ms to 1 ms burst [ 22 Jy ms / 24 antennas *sqrt{336/288} bandwidth factor]
KEY ID 	DM    	DMG     DMEG	Z	SNR	WIDTH
# fake data from MC simulations
FRB 0   401.4  35    316.4  0.276    27.9    4.0
FRB 1   398.6  35    313.6  0.376    15.3    3.0
FRB 2   554.9  35    469.9  0.284    21.8    4.0
FRB 3   392.5  35    307.5  0.411    17.5    2.0
FRB 4   161.4  35     76.4  0.096    14.1    2.0
FRB 5   895.0  35    810.0  0.577    45.9    2.0
FRB 6   517.0  35    432.0  0.688    13.4    3.0
FRB 7   183.9  35     98.9  0.111    13.7    3.0
FRB 8   886.9  35    801.9  1.090    10.0    0.0
FRB 9   720.0  35    635.0  1.113     9.9    3.0
FRB 10   628.6  35    543.6  0.422    39.1    2.0
FRB 11  1044.3  35    959.3  0.729    19.5    1.0
FRB 12   330.2  35    245.2  0.061    69.0    2.0
FRB 13   916.8  35    831.8  0.855    12.8    2.0
FRB 14   439.7  35    354.7  0.023    41.5    1.0
FRB 15  1018.7  35    933.7  0.962    14.0    3.0
FRB 16  1274.5  35   1189.5  1.155    14.4    2.0
FRB 17  1737.7  35   1652.7  0.898    20.1    2.0
FRB 18   230.3  35    145.3  0.153    10.9    2.0
FRB 19   891.7  35    806.7  0.635    14.2    1.0
FRB 20   404.7  35    319.7  0.363    28.3    3.0
FRB 21   688.4  35    603.4  0.591    11.6    2.0
FRB 22   507.9  35    422.9  0.692    19.8    3.0
FRB 23   337.0  35    252.0  0.105    11.4    2.0
FRB 24   303.7  35    218.7  0.078    10.3    4.0
FRB 25   350.2  35    265.2  0.048    14.7    2.0
FRB 26   278.8  35    193.8  0.026    28.8    4.0
FRB 27  1373.5  35   1288.5  1.251    10.1    0.0
FRB 28   882.8  35    797.8  0.672    11.7    2.0
FRB 29   172.2  35     87.2  0.080    11.9    3.0
FRB 30   376.7  35    291.7  0.171    30.6    3.0
FRB 31  1244.8  35   1159.8  0.377    16.7    4.0
FRB 32   540.4  35    455.4  0.669    19.0    3.0
FRB 33   508.9  35    423.9  0.396    29.7    0.0
FRB 34  1448.5  35   1363.5  1.440    12.0    2.0
FRB 35   600.4  35    515.4  0.372    11.0    1.0
FRB 36  1047.7  35    962.7  1.084    13.6    2.0
FRB 37   671.9  35    586.9  0.315    19.0    3.0
FRB 38   300.2  35    215.2  0.403    14.6    3.0
FRB 39   713.7  35    628.7  0.830    12.0    3.0
FRB 40   631.5  35    546.5  0.494    17.9    2.0
FRB 41   258.2  35    173.2  0.262    10.8    4.0
FRB 42  1420.6  35   1335.6  1.469     9.6    3.0
FRB 43   552.3  35    467.3  0.373    14.1    5.0
FRB 44   962.1  35    877.1  0.890    15.8    3.0
FRB 45   270.9  35    185.9  0.206    23.6    0.0
FRB 46  1214.8  35   1129.8  1.193    15.3    3.0
FRB 47   348.4  35    263.4  0.364    11.6    3.0
FRB 48   622.0  35    537.0  0.136    20.8    3.0
FRB 49   447.9  35    362.9  0.397    18.9    2.0
FRB 50   702.5  35    617.5  0.363    11.8    0.0
FRB 51   600.2  35    515.2  0.529    10.7    2.0
FRB 52   259.3  35    174.3  0.070    21.7    1.0
FRB 53   952.1  35    867.1  0.073    30.9    3.0
FRB 54   540.9  35    455.9  0.158    67.7    2.0
FRB 55   673.4  35    588.4  0.497    36.3    2.0
FRB 56   401.2  35    316.2  0.448    23.1    2.0
FRB 57   355.9  35    270.9  0.390    35.9    3.0
FRB 58   387.7  35    302.7  0.060    23.4    1.0
FRB 59  1450.6  35   1365.6  1.215    12.0    0.0
FRB 60  1034.9  35    949.9  0.615    20.2    4.0
FRB 61   453.9  35    368.9  0.562    47.8    2.0
FRB 62   543.7  35    458.7  0.556    14.0    2.0
FRB 63   510.5  35    425.5  0.147    18.8    2.0
FRB 64   803.5  35    718.5  0.109    14.3    1.0
FRB 65   277.8  35    192.8  0.013   137.9    3.0
FRB 66   213.3  35    128.3  0.100    27.2    3.0
FRB 67   718.5  35    633.5  0.370    11.3    3.0
FRB 68   824.5  35    739.5  0.491    11.7    3.0
FRB 69   382.1  35    297.1  0.180    29.7    4.0
FRB 70   588.5  35    503.5  0.776    21.4    3.0
FRB 71   337.9  35    252.9  0.362    19.6    2.0
FRB 72   503.2  35    418.2  0.187    22.8    1.0
FRB 73   407.9  35    322.9  0.453    24.4    1.0
FRB 74  1020.5  35    935.5  0.495    25.4    2.0
FRB 75   618.3  35    533.3  0.219    12.5    4.0
FRB 76   509.4  35    424.4  0.376    10.0    1.0
FRB 77   574.8  35    489.8  0.300    14.2    3.0
FRB 78   406.8  35    321.8  0.106   112.9    3.0
FRB 79   951.1  35    866.1  1.111    10.8    3.0
FRB 80   796.7  35    711.7  0.783    17.1    2.0
FRB 81   283.7  35    198.7  0.250    30.0    6.0
FRB 82   486.6  35    401.6  0.583    42.1    1.0
FRB 83   722.8  35    637.8  0.662    21.1    1.0
FRB 84   991.4  35    906.4  1.117    14.1    1.0
FRB 85   321.9  35    236.9  0.178    18.4    3.0
FRB 86   686.7  35    601.7  0.665    10.1    2.0
FRB 87   473.2  35    388.2  0.072    10.0    0.0
FRB 88   330.3  35    245.3  0.228    11.3    2.0
FRB 89   287.3  35    202.3  0.124    18.2    3.0
FRB 90   717.1  35    632.1  0.506    14.6    2.0
FRB 91  1187.8  35   1102.8  0.768    18.6    3.0
FRB 92   449.4  35    364.4  0.259    34.4    3.0
FRB 93   237.6  35    152.6  0.167    34.1    2.0
FRB 94  1362.8  35   1277.8  0.189    14.2    2.0
FRB 95   827.5  35    742.5  0.870    12.5    2.0
FRB 96  1060.1  35    975.1  0.961     9.7    3.0
FRB 97   311.2  35    226.2  0.214    12.8    2.0
FRB 98   416.1  35    331.1  0.524    18.3    2.0
FRB 99   357.6  35    272.6  0.097    11.2    2.0
FRB 100   766.1  35    681.1  0.347    10.7    3.0
FRB 101   256.6  35    171.6  0.201    29.5    2.0
FRB 102   708.6  35    623.6  0.676    13.9    3.0
FRB 103   484.8  35    399.8  0.588    74.8    2.0
FRB 104   437.8  35    352.8  0.318    21.6    2.0
FRB 105   478.8  35    393.8  0.359    12.5    3.0
FRB 106   452.2  35    367.2  0.193    56.0    2.0
FRB 107   739.5  35    654.5  0.950    10.2    3.0
