BW    336 #MHz
FRES  1 #MHz
NFRB 13 #Number of FRBs
NORMFRB 13 #half true number to account for SNR issue
TOBS 92.7 #in days
DIAM 12
NBEAMS 36
BEAM lat50_log #prefix of beam file
THRESH 4.4 #Jy ms to a 1 ms burst, very basic. Likely higher
SNRTHRESH 9 # signal-to-noise threshold: scales jy ms to snr
KEY ID 		DM    	FBAR	SNR        XRa		    XDec		    DMG	    XdmMW	XNant	WIDTH   TRES    Z
FRB 180924	362.4	1297.5	21.1	21:44:25.255	-40:54:00.1     40.5	27.7	24	    1.76	0.864	0.3214
FRB 181112	589.0	1297.5	19.3	21:49:23.630	-52:58:15.39	40.2	29.1	12	    2.1	    0.864	0.4755
FRB 190102	364.5	1271.5	14	    21:29:39.70836	-79:28:32.2845	57.3	43.3	23	    1.7	    0.864	0.291
FRB 190608	339.5	1271.5	16.1	22:16:04.7472s	-07:53:53.6	    37.2	26.6	25	    6	    1.728	0.1178
FRB 190611.2	322.2	1271.5	9.3	21:22:58.372	-79:23:51.284	57.6	43.6	25	    2	    1.728	0.378
FRB 190711	594.6	1271.5	23.8	21:57:40.012	-80:21:28.18	56.6	42.8	29	    6.5	    1.728	0.522
FRB 190714	504.7	1271.5	10.7	12:15:55.081	-13:01:14.36	38.5	31.2	28	    2.9	    1.728	0.209
FRB 191228	297.5	1271.5	22.9	22:57:43.269	-29:35:37.85	32.9	31.2	28	    2.3	    1.728	0.243
FRB 210117  730     1271.5  27.1    22:39:36.0	    -16:11:25.2     34.4    23.1    25      3.4     1.182   0.214
FRB 210214  398.3   1271.5  11.6    00:27:43	    -05:49:56       31.9    21.2    26      3.5     1.182   -1
FRB 210407 1785.3	1271.5  19.1    05:14:36.202	27:03:30.24     154     228.9   24      8       1.182   -1
FRB 210912  1234.5  1271.5  31.7    23:24:40.3	    -30:29:33.1     30.9    16.3    23      5.5     1.182   -1
FRB 211127  234.83  1271.5  37.9    13:19:09.5	    -18:49:28.4     42.5    31.0    24      1.41    1.182   0.046946

