TOBS 1274.6 #days - does NOT include efficiency since nobody else does! Shannon et al: 1326. I estimate raw 1427. 1274.6 is recorded data time.
FBAR  1196 #MHz
BW    336 #MHz
FRES  1 #MHz
TRES  1.265 #ms
DIAM 12
NBEAMS 36
BEAM lat50_log #prefix of beam file
NFRB 20 #Number of FRBs
THRESH 22 #Jy ms to a 1 ms burst
SNRTHRESH 9.5 # signal-to-noise threshold: scales jy ms to snr
KEY ID 		TIME	    DM    X     	X        	X	X	X    WIDTH  SNR        X        X        FIELD   ANT  	X	DMG   X		XWIDTH  
FRB 170107  20:05:45.1393  609.5  58  		11:23.3 	-05:00  266.0	54.1  2.4   16.0      	27.9   15 	G264+50	13	0.163	37      MISSING	0.98
FRB 170416  23:11:49.7994  523.2   97  		22:13  		-55:02  337.6	-50.0  5.0 13.0  	16.2  31 	G339-50	21	0.332	39.7	27.5	2.45
FRB 170428  18:03:11.7003  991.7  34  		21:47  		-41:51 359.2	-49.9  4.4   10.5  	31.6  22	G357-50	19	0.041	40.0	27.4	1.35
FRB 170707  06:18:11.3548  235.2  52  		02:59   	-57:16 269.1	-50.5  3.5  9.5  	11.3  56 	G329-50	16	0.281	38.5	26.5	2.09
FRB 170712  13:22:54.39488  312.79  53  	22:36  		-60:57  329.3	-51.6  1.4    12.7  	7.7  32		G273-50	01	0.133	35.9	26.9	0.76
FRB 170906  13:07:33.48832  390.3  74  		21:59.8 	-19:57  34.2	-49.5  2.5     17.0   	32.7  95 	G35-50	20	0.237	38.9	26.6	0.99
FRB 171003  04:08:00.78117  463.2  81  		12:29.5 	-14:07 283.4	46.3  2.0   13.8  	27.3  67 	G292+50	12	0.342	40.5	35.4	0.72
FRB 171004  03:24:16.2501   304.0  44  		11:57.6 	-11:54 282.2   	48.9  2.0  10.9   	30.5  84 	G283+50	26	0.203	38.5	33.0	0.85
FRB 171019  13:27:17.09738  460.8  219  	22:17.5 	-08:40  52.5  	-49.3  5.4  23.4  	17.6  57 	G53-50	21	0.379	37.0	26.3	2.84
FRB 171020  10:28:35.59870  114.1  200  	22:15  		-19:40  29.3  	-51.3   1.7  19.5  	32.7  95 	G35-50	0	0.63	38.4	25.8	0.58
FRB 171116  15:00:10.3052  618.5  63  		03:31.0 	-17:14  205.0  	-49.8   3.2  11.8      	45.7  102 	G208-50	28	0.346	35.8	37.5	1.43
FRB 171213  14:23:17.46705  158.6  118  	03:39  		-10:56  200.6  	-48.3  1.5  25.1   	35.5   118 	G199-50	2	0.513	36.8	39.7	0.43
FRB 171216  17:59:47.82229  203.1  36  		03:28   	-57:04  273.9  	-48.4  1.9  8.0    	7.7  26		G273-50	27	0.491	37.2	28.7	0.85
FRB 180110  07:35:11.9590  715.7  380 		21:53.0 	-35:27 7.8   	-51.9  3.2   35.6   	37.7   154	G7-50	31	0.430	38.8	26.0	4.73
FRB 180119 12:25:07.7476  402.7  100  		03:29.3 	-12:44  199.5  	-50.4  2.7  15.9   	35.5  125	G199-50	20	0.298	35.6	37.9	1.97
FRB 180128.0  01:00:15.6179  441.4  51 		13:56 		-06:43 326.7  	52.2  2.9  12.4  	21.6  102	G329+50	11	0.158	32.3	26.6	1.27
FRB 180128.2  04:54:03.7962  495.9  60 		22:22  		-60:15  327.8  	-48.6  2.3  9.6  	11.3 62		G329-50	3	0.396	40.5	28.5	1.29
FRB 180130  04:56:06.9932  343.5  104  		21:52.2 	-38:34 5.9  	-51.8  4.1 10.3 	37.7  120 	G7-50	22	0.380	38.7	26.1	3.54
FRB 180131  05:45:42.3207  657.7  114  		21:49.9 	-40:41  0.6  	-50.7  4.5  13.8  	31.6 103	G357-50	25	0.391	39.5	26.9	2.34
FRB 180212  23:45:41.39991 167.5  108  		14:21 		-03:35 338.3 	50.0  1.81  18.3   	21.9 79 	G339+50	5	0.391	30.5	26.3	0.5
