FBAR  1382 #MHz
BW    337 #MHz
FRES  0.390625 #MHz
TRES  0.128 #ms. Some have been half this.
BEAM parkes_mb_log #prefix of beam file
DIAM 64
NBEAMS 13
TOBS 164.4 # days
NFRB 28 #Number of FRBs
NORM_FRB 12 #number corresponding to Tobs
THRESH 0.5 #Jy ms to a 1 ms burst
# SNRTHRESH 10 # signal-to-noise threshold: scales jy ms to snr
KEY    ID       XA    XB        XC    XRA        XDec    Gl     Gb    DM    WIDTH   SNR    SNRTHRESH    DMG
#SUPERB part of 1115+907 hr on sky
FRB 151230   2015/12/30 16:15:46.525   parkes   09:40:50   -03:27:05   239   34.8   960.4   4.4   17        10    48
FRB 160102   2016/01/02 08:28:39.374   parkes   22:38:49   -30:10:50   18.9   -60.8   2596.1   3.4   16        10    36
#HTRU new pop Thornton et al; also seen by Petroff et al
# FRB 110214   2011/02/14 07:14:10.353   parkes   01:21:17   -49:47:11   290.7   -66.6   168.9   1.9   13        MISSING    32
FRB 110220   2011/02/20 01:55:48.096   parkes   22:34:38   -12:23:45   50.829   -54.7663   944.38   5.6   49    9    36
FRB 110626   2011/06/26 21:33:17.477   parkes   21:03:43   -44:44:19   355.862   -41.7522   723   1.4   11    9    48
FRB 110703   2011/07/03 18:59:40.607   parkes   23:30:51   -02:52:24   80.9978   -59.0191   1103.6   4.3   16    9    33
# HTRU high-lat Champion et al
FRB 090625   2009/06/25 21:53:51.379   parkes   03:07:47   -29:55:36   226.444   -60.0303   899.55   1.92   30    10    32
FRB 121002   2012/10/02 13:09:18.436   parkes   18:14:47   -85:11:53   308.22   -26.2647   1629.18   5.44   16    10    72
FRB 130626   2013/06/26 14:55:59.771   parkes   16:27:06   -07:27:48   7.45003   27.4203   952.4   1.98   21    10    65
FRB 130628   2013/06/28 03:58:00.178   parkes   09:03:02   03:26:16   225.955   30.6556   469.880   0.64   29    10    52
FRB 130729   2013/07/29 09:01:51.190   parkes   13:41:21   -05:59:43   324.788   54.7446   861   15.61   14    10    32
# FRB 010312   2001/03/12 11:06:47.980   parkes   05:26:54.9   -64:56:19.2   274.72   -33.3   1187   24.3   11    MISSING    51
# 010724 assumes SNR of 2000 based on s~200, assuming 40 Jy over 5 ms and threshold ~1 ms
# FRB 010724   2001/07/24 19:50:01.690   parkes   01:18:06   -75:12:18   300.653   -41.8051   375   5   2000    MISSING    44.8
FRB 120127   2012/01/27 08:11:21.725   parkes   23:15:06   -18:25:38   49.2871   -66.2037   553.3   1.1   11    9    33
FRB 131104   2013/11/04 18:04:11.200   parkes   06:44:10   -51:16:40   260.55   -21.9253   779   2.08   30    10    71
FRB 140514   2014/05/14 17:14:11.060   parkes   22:34:06   -12:18:46   50.8413   -54.612   562.7   2.8   16    10    36
# FRB 150807   2015/08/07 17:53:55.830   parkes   22:42:31   -55:04:42   333.892   -53.5959   266.5   0.35   50    MISSING    38
# 180309 s uses offline calculated values
FRB 180309   2018/03/09 02:49:32.990   parkes   21:24:43.8   -33:58:44.5   10.9   -45.4   263.42   0.475   2416    10    46
FRB 180311   2018/03/11 04:11:54.800   parkes   21:31:33.42   -57:44:26.7   337.3   -43.7   1570.9   13.4   11.5  10    46
# FRB 010305   2001/03/05 12:29:16.020   parkes   04:57:19.5   -52:36:24.668   260.06   -38.34   350   9   10.2    MISSING    44
# high Galactic DM FRBs originally excluded from the analysis but shown to be useful
FRB 150418   2015/04/18 04:29:06.657   parkes   07:16:35   -19:00:40   232.665   -3.2348    776.2   0.8   39    10    164
FRB 150610   2015/06/10 05:26:59.396   parkes   10:44:26   -40:05:23   278      16.5        1593.9  2     18    10    104
FRB 010125   2001/01/25 00:29:15.790   parkes   19:06:53   -40:37:14   356.641   -20.0206   790     9.4   17    7     105
FRB 010621   2001/06/21 13:02:11.299   parkes   18:52:05   -08:29:35   25.434   -4.00381    745     7     16.3  8     502
FRB 150215   2015/02/15 20:41:41.714   parkes   18:17:27   -04:54:15   24.6628   5.28092    1105.6  2.88  19    10    405
FRB 151206   2015/12/06 06:17:52.778   parkes   19:21:25   -04:07:54   32.6     -8.5        1909.8  3     10    10    239
FRB 171209   2017/12/09 20:34:23.500   parkes   15:50:25   -46:10:20   332.2    6.24        1457.4  2.5   40    10    329
FRB 180714   2018/07/14 10:00:08.700   parkes   17:46:12   -11:45:47   14.8      8.72       1467.92 2.9   22    10    254

