FBAR  1382 #MHz
BW    337 #MHz
FRES  0.390625 #MHz
TRES  0.128 #ms. Some have been half this.
BEAM parkes_mb_log #prefix of beam file
DIAM 64
NBEAMS 13
TOBS 146.3 # days. #Bhandari et al state 164.4. Champion + Thornton: 1489. Why 1924?
NFRB 11 #Number of FRBs
THRESH 0.5 #Jy ms to a 1 ms burst [CHECK!!!]
SNRTHRESH 10 # signal-to-noise threshold: scales jy ms to snr
KEY    ID 	  X	X		X	X		X	Gl 	Gb	DM	WIDTH   SNR	SNRth	DMG


FRB 110214   2011/02/14 07:14:10.353   parkes   01:21:17   -49:47:11   290.7   -66.6   168.9   1.9   13		MISSING	32
#HTRU new pop Thornton et al
FRB 110220   2011/02/20 01:55:48.096   parkes   22:34:38   -12:23:45   50.829   -54.7663   944.38   5.6   49	9	36
FRB 110626   2011/06/26 21:33:17.477   parkes   21:03:43   -44:44:19   355.862   -41.7522   723   1.4   11	9	48
FRB 110703   2011/07/03 18:59:40.607   parkes   23:30:51   -02:52:24   80.9978   -59.0191   1103.6   4.3   16	9	33
### SHULD BE INCLUDED  FRB 120127   2012/01/27 08:11:21.725   parkes   23:15:06   -18:25:38   49.2871   -66.2037   553.3   1.1   11	9	33
# HTRU high-lat Champion et al - this and Thornton are "1549 deg2 hr" - /13 and /0.08 deg2 = 1489 [Shivani: quote 1924]
FRB 090625   2009/06/25 21:53:51.379   parkes   03:07:47   -29:55:36   226.444   -60.0303   899.55   1.92   30	10	32
FRB 121002   2012/10/02 13:09:18.436   parkes   18:14:47   -85:11:53   308.22   -26.2647   1629.18   5.44   16	10	72
FRB 130626   2013/06/26 14:55:59.771   parkes   16:27:06   -07:27:48   7.45003   27.4203   952.4   1.98   21	10	65
FRB 130628   2013/06/28 03:58:00.178   parkes   09:03:02   03:26:16   225.955   30.6556   469.880   0.64   29	10	52
FRB 130729   2013/07/29 09:01:51.190   parkes   13:41:21   -05:59:43   324.788   54.7446   861   15.61   14	10	32
#SUPERB part of 1115+907 hr on sky
FRB 151230   2015/12/30 16:15:46.525   parkes   09:40:50   -03:27:05   239   34.8   960.4   4.4   17		10	48
FRB 160102   2016/01/02 08:28:39.374   parkes   22:38:49   -30:10:50   18.9   -60.8   2596.1   3.4   16		10	36

