FBAR  1382 #MHz
BW    337 #MHz
FRES  0.390625 #MHz
TRES  0.128 #ms. Some have been half this.
BEAM parkes_mb_log #prefix of beam file
DIAM 64
NBEAMS 13
NFRB 9 #Number of FRBs
THRESH 0.5 #Jy ms to a 1 ms burst [CHECK!!!]
SNRTHRESH 10 # signal-to-noise threshold: scales jy ms to snr
KEY    ID 	  X	X		X	X		X	Gl 	Gb	DM	WIDTH   SNR	SNRth	DMG
FRB 010305   2001/03/05 12:29:16.020   parkes   04:57:19.5   -52:36:24.668   260.06   -38.34   350   9   10.2	MISSING	44
FRB 010312   2001/03/12 11:06:47.980   parkes   05:26:54.9   -64:56:19.2   274.72   -33.3   1187   24.3   11	MISSING	51
FRB 010724   2001/07/24 19:50:01.690   parkes   01:18:06   -75:12:18   300.653   -41.8051   375   5   23	MISSING_DELETE	44.8
# the next one SHOULD be in class I! IDIOT!
FRB 120127   2012/01/27 08:11:21.725   parkes   23:15:06   -18:25:38   49.2871   -66.2037   553.3   1.1   11	9	33

FRB 131104   2013/11/04 18:04:11.200   parkes   06:44:10   -51:16:40   260.55   -21.9253   779   2.08   30	10	71
FRB 140514   2014/05/14 17:14:11.060   parkes   22:34:06   -12:18:46   50.8413   -54.612   562.7   2.8   16	10	36
FRB 150807   2015/08/07 17:53:55.830   parkes   22:42:31   -55:04:42   333.892   -53.5959   266.5   0.35   50	MISSING	38
FRB 180309   2018/03/09 02:49:32.990   parkes   21:24:43.8   -33:58:44.5   10.9   -45.4   263.42   0.475   411	10	46
FRB 180311   2018/03/11 04:11:54.800   parkes   21:31:33.42   -57:44:26.7   337.3   -43.7   1570.9   13.4   11.5  10	46




